Portugal. The Man, Feel It Still
Gnarls Barkley, Crazy
Adele, Send My Love (To Your New Lover)
The Coral, In the Morning
Ed Sheeran, What Do I Know?
Corinne Bailey Rae, Put Your Records On
Sara Bareilles, Love Song
Charlie Puth, How Long
Earth, Wind & Fire, September
JP Cooper, She's On My Mind
KT Tunstall, Black Horse and the Cherry Tree - Radio Version
Tom Grennan, Found What I've Been Looking For
Jack Johnson, Better Together
Tim Halperin, Light Up
Billy Ocean, Love Really Hurts Without You
Jamie Lawson, Can't See Straight
James Morrison, You Make It Real
James TW, For You
Dolly Parton, Jolene
Grace VanderWaal, So Much More Than This
Lynyrd Skynyrd, Sweet Home Alabama
George Ezra, Don't Matter Now
Train, Hey, Soul Sister
Niall Horan, Too Much To Ask
The Beatles, Here Comes The Sun - Remastered
Anne-Marie, Heavy
Stevie Wonder, Signed, Sealed, Delivered (I'm Yours)
Calvin Harris, Feels
Frankie Valli & The Four Seasons, December, 1963 (Oh What A Night!)
Ariana Grande, One Last Time
Maroon 5, Wait
The Temptations, My Girl
Charles & Eddie, Would I Lie To You?
P!nk, What About Us
Ben E. King, Stand By Me
Matt Terry, Sucker for You
Michael Bublé, Everything
Rhys Lewis, Wish I Was Sober
Stealers Wheel, Stuck In The Middle With You
Natasha Bedingfield, Unwritten
Macklemore, Good Old Days (feat. Kesha)
Keane, Everybody's Changing
Olly Murs, Unpredictable
Nelly Furtado, I'm Like A Bird
Sam Smith, One Last Song
Fleetwood Mac, Everywhere - Remastered
The BlueBirds, Nothing On Me
The Emotions, Best of My Love
Rita Ora, Anywhere
The Cardigans, Lovefool - Radio Edit
Rag'n'Bone Man, Grace (We All Try)
Marc Cohn, Walking In Memphis
Gavin James, Hearts On Fire
The 1975, The Sound
Bill Withers, Lovely Day
Bishop Briggs, Dream
R.E.M., Nightswimming
Lewis Capaldi, Mercy
Jess Glynne, Hold My Hand
courtship., Tell Me Tell Me
Gabrielle, Dreams
The Revivalists, Wish I Knew You
Paul Simon, You Can Call Me Al
Tom Speight, Waiting
Callum Beattie, Miracle
Des'ree, You Gotta Be
Plan B, Heartbeat
Crowded House, Weather With You
Bob Marley & The Wailers, Is This Love
Kygo, Kids in Love
Prince, Kiss
Paloma Faith, Guilty
Diana Ross, I'm Coming Out
Jodie Abacus, When Sunday Comes
Sting, Englishman In New York
Kodaline, Ready to Change
Stereophonics, Would You Believe?
The Corrs, Radio
U2, Get Out Of Your Own Way
Kelsea Ballerini, I Hate Love Songs
