Hozier, Take Me to Church
Vance Joy, Riptide
Red Hot Chili Peppers, Under The Bridge
Ed Sheeran, Photograph
Beyoncé, Halo
Rihanna, FourFiveSeconds
George Ezra, Budapest
Jason Mraz, I'm Yours
Passenger, Let Her Go
The Lumineers, Ho Hey
Mumford & Sons, Lover Of The Light
Beyoncé, If I Were a Boy
The Script, Breakeven
Gnarls Barkley, Crazy - single version
The Fray, How to Save a Life
Benjamin Francis Leftwich, Shine
Ben Howard, Only Love
Leona Lewis, Bleeding Love
MAGIC!, Rude (Acoustic)
Of Monsters and Men, Little Talks
Snow Patrol, Chasing Cars
Incubus, Drive
Edward Sharpe & The Magnetic Zeros, Home
Red Hot Chili Peppers, Snow (Hey Oh) - Hey Oh Album Version
WALK THE MOON, Shut Up and Dance - Live Acoustic
No Doubt, Underneath It All - Acoustic Live - German Radio
Coldplay, Yellow
Green Day, Wake Me Up When September Ends
Florence + The Machine, Dog Days Are Over - MTV Unplugged, 2012
Ed Sheeran, Shape of You - Acoustic
Alicia Keys, No One - Acoustic
Story Of The Year, Sidewalks - Acoustic Version
Gavin DeGraw, Chariot
Taylor Swift, Back To December - Acoustic
Grouplove, Tongue Tied
Maroon 5, Harder To Breathe - Acoustic
James Bay, Let It Go - James Bay Spotify Session 2015
Incubus, Mexico
Gavin DeGraw, I Don't Want to Be - Stripped Version
Florence + The Machine, Shake It Out - MTV Unplugged, 2012
Ed Sheeran, The A Team
Brandi Carlile, The Story
John Mayer, Slow Dancing in a Burning Room
X Ambassadors, American Oxygen
Mumford & Sons, The Cave
Augustana, Boston
Ed Sheeran, Thinking Out Loud
Howie Day, Collide - Acoustic Version
Matt Nathanson, Come On Get Higher
The Goo Goo Dolls, Sympathy
Lifehouse, You And Me
James Blunt, You're Beautiful
Keane, Somewhere Only We Know
The Fray, Over My Head (Cable Car)
The Calling, Wherever You Will Go
X Ambassadors, Renegades - Live Session / Acoustic Version
Coldplay, Shiver
Edwin McCain, I'll Be
Taylor Swift, Breathe
Maroon 5, She Will Be Loved - Acoustic
Sara Bareilles, Gravity
Coldplay, Trouble
Vanessa Carlton, A Thousand Miles (Live Acoustic)
John Mayer, Your Body Is a Wonderland
Damien Rice, The Blower's Daughter
Mumford & Sons, I Will Wait
Anna Nalick, Breathe (2 AM) - Acoustic Version
American Authors, Best Day Of My Life
Jack Johnson, Better Together
Jason Mraz, Lucky
Taylor Swift, Teardrops On My Guitar - Radio Single Remix
Eddie Vedder, Society
