Henri Purnell, True Lover (feat. Natkim)
Derrival, Ice Cream (Adam Fine Remix)
Maml, Let Me Go
Saxity, More Than I Do
Juliet Ariel, Take Me With You
Maria Lynn, Dive In
Koni, Sun Goes Down
Just A Gent, Limelight (NGHTMRE Remix)
Vanic, Samurai
LÉON, Tired of Talking - Young Bombs Remix
Jesper Jenset, High - Young Bombs Remix
Troye Sivan, WILD - Young Bombs Remix
Porter Robinson, Shelter
Kaskade, Us
Don Diablo, What We Started
Troye Sivan, YOUTH - Gryffin Remix
Martin Garrix, In the Name of Love
Carly Rae Jepsen, Your Type - Young Bombs Remix
Alessia Cara, Wild Things - Young Bombs Remix
Alan Walker, Faded - Young Bombs Remix
ROZES, Burn Wild (Young Bombs Remix)
FLETCHER, War Paint (Young Bombs Remix)
Cash Cash, How To Love (feat. Sofia Reyes) - Boombox Cartel Remix
The Chainsmokers, Closer
Illenium, Afterlife (feat. Echos)
Flume, Say It
Keys N Krates, Are We Faded - Original Mix
The Chainsmokers, Roses
Jai Wolf, Indian Summer
Alesso, Heroes (we could be) - Jai Wolf Remix
Just A Gent, Limelight (feat. R O Z E S)
Flume, Never Be Like You
What So Not, Gemini (Ekali Remix) - Ekali Remix
Tep No, It's Alright (NGHTMRE Remix) [feat. Lizz Kellerman]
Zeds Dead, Frontlines
Disclosure, You & Me - Flume Remix
The Chainsmokers, Don't Let Me Down - Illenium Remix
Headhunterz, Unique
No Sleep, Born to Lose (feat. Gia Koka)
Fabian Mazur, Right Now
Jesper Jenset, High - EDWYNN X TIKAL Remix
Steve James, Renaissance
Bro Safari, Reality (feat. Sarah Hudson)
Mija, Better
Adventure Club, Gold (feat. Yuna)
Illenium, It's All on U (feat. Liam O'Donnell)
Kaskade, Fakin It (feat. Ofelia K) - Galactic Marvl Remix
Illenium, Reverie (feat. King Deco)
Illenium, Fortress (feat. Joni Fatora)
Illenium, Sleepwalker (feat. Joni Fatora)
Illenium, Only One (feat. Nina Sung)
Illenium, So Wrong
Sound Remedy, Spirals (feat. King Deco)
Tove Styrke, Borderline - Vanic Remix
machineheart, Circles
Zella Day, Hypnotic - Vanic Remix
Skrillex, Mind (feat. Kai) - Ekali & Gravez Remix
Flux Pavilion, I Can't Stop (Ekali Tribute)
Falcons, I Won't Lie (feat. Vanessa Elisha)
Ta-ku, Meet in the Middle - Ekali Remix
Just A Gent, Rolling Dice
Just A Gent, Loaded
Just A Gent, Sovereign
Halsey, Colors - Audien Remix
Boombox Cartel, Colors
Diplo, Be Right There - Boombox Cartel Remix
graves, Lost Boys
graves, Stay Up
graves, VHS
The Chainsmokers, All We Know
Salvatore Ganacci, Dive - Sean Turk Remix
Adam Jensen, Sandcastles - ToWonder X Severo Remix
Jack Garratt, Surprise Yourself - GRYFFIN x Manila Killa Remix
