Skx, Weekend Superstars
Smallpools, Passenger Side
WALK THE MOON, One Foot
Bleachers, Rollercoaster
The Neighbourhood, You Get Me So High
Smallpools, American Love
Hippo Campus, South
Swim Deep, She Changes the Weather
The Wombats, Lemon to a Knife Fight
The Neighbourhood, Afraid
Two Door Cinema Club, Next Year - RAC Remix
WALK THE MOON, Surrender
Two Door Cinema Club, Are We Ready? (Wreck)
Hippo Campus, Vines
Sundara Karma, Indigo Puff
COIN, Malibu 1992
Smallpools, Mother
The Neighbourhood, Single
Sundara Karma, Happy Family
COIN, Talk Too Much
Hippo Campus, Monsoon
Hippo Campus, Simple Season
COIN, Fingers Crossed
Swim Deep, Make My Sun Shine
The Neighbourhood, Cry Baby
COIN, Run
Two Door Cinema Club, What You Know
Hippo Campus, Epitaph
WALK THE MOON, Avalanche
Two Door Cinema Club, Lavender
The Neighbourhood, Daddy Issues
Bleachers, All My Heroes
WALK THE MOON, Anna Sun
Smallpools, Street Fight
Hippo Campus, Suicide Saturday
Swim Deep, Soul Trippin
The Wombats, Be Your Shadow
WALK THE MOON, Press Restart
Sundara Karma, Loveblood
Bleachers, Everybody Lost Somebody
Two Door Cinema Club, Something Good Can Work
Bleachers, Hate That You Know Me
The Neighbourhood, 24/7
COIN, Are We Alone?
Sundara Karma, A Young Understanding
Swim Deep, Ngl
COIN, Don't Cry, 2020
WALK THE MOON, Work This Body
Bleachers, I Wanna Get Better
Two Door Cinema Club, Undercover Martyn
WALK THE MOON, Shut Up and Dance - Live Acoustic
Two Door Cinema Club, Sun
The Wombats, Moving To New York
Swim Deep, One Great Song and I Could Change the World
The Wombats, Greek Tragedy
Smallpools, Dreaming
The Wombats, Let's Dance To Joy Division
Swim Deep, The Sea
Sundara Karma, Explore
WALK THE MOON, Headphones
WALK THE MOON, Shut Up and Dance
Two Door Cinema Club, I Can Talk
Hippo Campus, warm glow
The Neighbourhood, The Beach
The Neighbourhood, Sadderdaze
Smallpools, DJs & Porsches
Two Door Cinema Club, Bad Decisions
Bleachers, Don't Take The Money
Two Door Cinema Club, Changing Of The Seasons
COIN, Atlas
Bleachers, Wake Me
The Wombats, Kill The Director
The Neighbourhood, Sweater Weather
Hippo Campus, baseball
The Wombats, Pink Lemonade
Sundara Karma, Vivienne
Smallpools, Dreaming - The Chainsmokers Remix
The Neighbourhood, R.I.P. 2 My Youth
Hippo Campus, Way It Goes
WALK THE MOON, Kamikaze
COIN, Feeling
Bleachers, I Miss Those Days
Smallpools, Million Bucks
The Wombats, Emoticons
Sundara Karma, Flame
The Wombats, Give Me A Try
Smallpools, Killer Whales
Swim Deep, Aviva
Sundara Karma, Olympia
COIN, I Don't Wanna Dance
Hippo Campus, Buttercup
Bleachers, Goodmorning
Swim Deep, Honey
Bleachers, Let's Get Married
Sundara Karma, She Said
The Wombats, Tokyo - Vampires & Wolves
COIN, Boyfriend
Swim Deep, Francisco
Smallpools, Over & Over
Sundara Karma, Deep Relief
Swim Deep, King City
