The Script, Rain
Sigala, Came Here for Love
French Montana, Unforgettable
Axwell /\ Ingrosso, More Than You Know
Robin Schulz, OK
Clean Bandit, Symphony (feat. Zara Larsson)
AJR, Weak
Calvin Harris, Feels
Anne-Marie, Ciao Adios
Martin Garrix, There for You
Liam Payne, Strip That Down
Imagine Dragons, Believer
Armin van Buuren, Sunny Days
Imagine Dragons, Thunder
Kygo, First Time
The Boy Next Door, La Colegiala
Jonas Blue, Mama
David Guetta, 2U (feat. Justin Bieber)
Lil' Kleine, Net Iets Meer
Lil' Kleine, Loterij
Lucas & Steve, Up Till Dawn (On The Move)
Kygo, It Ain't Me (with Selena Gomez)
Niall Horan, Slow Hands
Zedd, Stay (with Alessia Cara)
Rita Ora, Your Song
Charlie Puth, Attention
Cheat Codes, No Promises (feat. Demi Lovato)
Ed Sheeran, Shape of You
Shawn Mendes, There's Nothing Holdin' Me Back
The Chainsmokers, Something Just Like This
Major Lazer, Know No Better (feat. Travis Scott, Camila Cabello & Quavo)
Ali B, Voy a Bailar (feat. Boef & Rolf Sanchez)
DJ Khaled, I'm the One
Dua Lipa, New Rules
Calvin Harris, Slide
Enrique Iglesias, SUBEME LA RADIO
Skrillex, Would You Ever
Jason Derulo, Swalla (feat. Nicki Minaj & Ty Dolla $ign)
Lost Stories, Spread The Fire
Ed Sheeran, Galway Girl
DJ Khaled, Wild Thoughts
SFB, Way It Goes
Jonna Fraser, Party
Bob Sinclar, Til The Sun Rise Up
R3HAB, Killing Time
Miley Cyrus, Malibu
Ronnie Flex, Come Again
The Partysquad, C'est la vie
Cat Carpenters, High On Summer
Maggie Lindemann, Pretty Girl - Cheat Codes X CADE Remix
