Camila Cabello, Havana
G.R.L., Ugly Heart
Dua Lipa, New Rules
Ariana Grande, One Last Time
Little Mix, Power (feat. Stormzy)
Karmin, Brokenhearted
Maggie Lindemann, Pretty Girl - Cheat Codes X CADE Remix
Olly Murs, Dance with Me Tonight
Demi Lovato, Sorry Not Sorry
Jess Glynne, Don't Be So Hard On Yourself
Sigala, Came Here for Love
Taylor Swift, Blank Space
Justin Bieber, Sorry
Macklemore, Glorious (feat. Skylar Grey)
Rita Ora, Your Song
One Direction, Kiss You
ALMA, Chasing Highs
Shawn Mendes, There's Nothing Holdin' Me Back
fun., We Are Young (feat. Janelle Monáe) - feat. Janelle Monae
Liam Payne, Bedroom Floor
5 Seconds of Summer, She Looks So Perfect
Hailee Steinfeld, Most Girls
The Saturdays, What About Us
Luis Fonsi, Despacito - Remix
Beyoncé, Love On Top
Avicii, Lonely Together (feat. Rita Ora)
Marina and the Diamonds, Primadonna
Starley, Call On Me - Ryan Riback Extended Remix
Major Lazer, Lean On (feat. MØ & DJ Snake)
Flo Rida, Whistle
Clean Bandit, Symphony (feat. Zara Larsson)
Rihanna, We Found Love
Kanye West, Stronger
J Balvin, Mi Gente
Gym Class Heroes, Stereo Hearts (feat. Adam Levine) - feat. Adam Levine
Craig David, Heartline
Niall Horan, Slow Hands
Little Mix, Black Magic
Rudimental, Sun Comes Up
Jessie J, Bang Bang
Rita Ora, Anywhere
David Guetta, Titanium (feat. Sia) - feat. Sia
Louis Tomlinson, Back to You (feat. Bebe Rexha & Digital Farm Animals)
Kelly Clarkson, My Life Would Suck Without You
Pitbull, Give Me Everything
Estelle, American Boy (feat. Kanye West)
Charlie Puth, How Long
Jessie J, Domino
P!nk, True Love
Calvin Harris, Feels
Cover Drive, Twilight
James Hype, More Than Friends (feat. Kelli-Leigh)
Axwell /\ Ingrosso, More Than You Know
Maroon 5, Payphone
Lauv, I Like Me Better
Matt Terry, Sucker for You
Blu Cantrell, Breathe - Rap Version
ZAYN, Dusk Till Dawn - Radio Edit
Taio Cruz, Break Your Heart
Natasha Bedingfield, These Words
