Seether, Broken
Relient K, Be My Escape
My Chemical Romance, I'm Not Okay (I Promise)
Sugarcult, Memory
Evanescence, Bring Me To Life
Yellowcard, Ocean Avenue
The Red Jumpsuit Apparatus, Face Down
Fall Out Boy, Sugar, We're Goin Down
All Time Low, Dear Maria, Count Me In
Panic! At The Disco, I Write Sins Not Tragedies
Good Charlotte, The Anthem
blink-182, What's My Age Again?
My Chemical Romance, Teenagers
Lit, My Own Worst Enemy
Fall Out Boy, Thnks fr th Mmrs
The Starting Line, The Best Of Me
Taking Back Sunday, Cute Without the "E" (Cut From the Team)
Dashboard Confessional, Hands Down
blink-182, I Miss You
The Used, The Taste Of Ink
Armor For Sleep, Car Underwater
Yellowcard, Only One
Thirty Seconds To Mars, The Kill
Mayday Parade, Miserable At Best
Say Anything, Alive With The Glory Of Love
Cute Is What We Aim For, The Curse Of Curves
All Time Low, Coffee Shop Soundtrack
Brand New, Seventy Times 7
A Day To Remember, If It Means a Lot to You
Boys Like Girls, The Great Escape
The Postal Service, Such Great Heights
Senses Fail, Can't Be Saved
The Ataris, In This Diary
Secondhand Serenade, Fall For You
The Academy Is..., About A Girl
Death Cab for Cutie, I Will Follow You Into The Dark
Simple Plan, Welcome To My Life
Sum 41, Still Waiting
Puddle Of Mudd, She Hates Me
Audioslave, Like a Stone
Good Charlotte, I Don't Wanna Be In Love (Dance Floor Anthem)
blink-182, Adam's Song
Papa Roach, Scars
Linkin Park, Numb
Hawthorne Heights, Ohio Is for Lovers
Motion City Soundtrack, Everything Is Alright
Sugarcult, Bouncing Off The Walls
Panic! At The Disco, Lying Is The Most Fun A Girl Can Have Without Taking Her Clothes Off
Paramore, Still Into You
Papa Roach, Last Resort
Rise Against, Hero Of War
Simple Plan, I'd Do Anything
All Time Low, A Love Like War (feat. Vic Fuentes)
Lee Harding, Wasabi
Third Eye Blind, Semi-Charmed Life
The Offspring, Come Out and Play
No Doubt, Just A Girl
Fall Out Boy, This Ain't A Scene, It's An Arms Race
Goldfinger, 99 Red Balloons
Simple Plan, I'm Just A Kid
Something Corporate, Punk Rock Princess
Paramore, crushcrushcrush
Green Day, When I Come Around
Jimmy Eat World, The Middle
The All-American Rejects, Dirty Little Secret
Jack's Mannequin, The Mixed Tape
Paramore, Ignorance
blink-182, Dammit
Good Charlotte, Lifestyles of the Rich & Famous
Sum 41, Fat Lip
Green Day, American Idiot
The All-American Rejects, Swing, Swing
Simple Plan, Addicted
My Chemical Romance, Welcome to the Black Parade
The Ataris, The Boys of Summer
blink-182, The Rock Show
Jimmy Eat World, Sweetness
Rise Against, Savior
The Offspring, You're Gonna Go Far, Kid
Sum 41, In Too Deep
Paramore, Misery Business
blink-182, First Date
Green Day, Basket Case
blink-182, All The Small Things
Relient K, Who I Am Hates Who I've Been
The Used, I Caught Fire
Sum 41, The Hell Song
blink-182, Feeling This
The All-American Rejects, Gives You Hell
+44, When Your Heart Stops Beating
The Offspring, Self Esteem
Wheatus, Teenage Dirtbag
The Red Jumpsuit Apparatus, Your Guardian Angel
Green Day, Wake Me Up When September Ends
Green Day, 21 Guns
My Chemical Romance, Mama
Breaking Benjamin, I Will Not Bow
Every Avenue, Mindset
You Me At Six, Underdog
Bullet For My Valentine, All These Things I Hate (Revolve Around Me)
Jarrod Alonge, Pop Punk Pizza Party (feat. Dave Days)
The Word Alive, Light House
Elemeno P, Goodbye
The Cranberries, Zombie
The Swellers, The Best I Ever Had
Nine Days, Absolutely (Story of a Girl) - Radio Mix
Kid Liberty, That's What She Said
Relient K, My Girl's Ex-Boyfriend
Elemeno P, Fast Times in Tahoe
Elemeno P, Verona
Elemeno P, One Left Standing
Billy Talent, Fallen Leaves
Front Porch Step, If I Tremble
Front Porch Step, Drown
We Are Defiance, Hurricane You
Neck Deep, A Part of Me (ft. Laura Whiteside)
Kodaline, All I Want
Every Avenue, Tell Me I'm A Wreck
Green Day, Brain Stew
Anarbor, You And I
Forever The Sickest Kids, La La Lainey
Modern Baseball, Your Graduation
AS IT IS, Dial Tones
Go Radio, You Hold Your Breath, I'll Hold My Liquor
Whale Bones, Hiding from the Sea
The Maine, Everything I Ask For
Whale Bones, I Can't Live Again
Whale Bones, Seaside
Tonight Alive, Little Lion Man
Tonight Alive, Lonely Girl
Tonight Alive, The Other Side
Three Days Grace, Pain
Elemeno P, 11:57
Goodshirt, Sophie
Third Eye Blind, Semi-Charmed Life
