Nick Mulvey, Fever To The Form
The Ballroom Thieves, Only Lonely
Peter Bradley Adams, Who Else Could I Be
Dawn Landes, Heaven's Gate
Blanco White, El Buho
Mipso, Louise
Stu Larsen, Thirteen Sad Farewells
Caamp, Vagabond
Darlingside, White Horses
Tall Heights, Back to Autumn
Ben Howard, The Wolves
Charlie Cunningham, You Sigh
Ira Wolf, Great Divide
Gregory Alan Isakov, The Stable Song
Beta Radio, Sitting Room
Dustin Tebbutt, The Breach
Joshua James, Broken Tongue
Isbells, Dreamer
The Brother Brothers, Siren Song - Audiotree Live Version
Magnolian, The Bride & The Bachelor
Hollow Coves, Home
Fionn Regan, Cormorant Bird
Mandolin Orange, Wildfire
Beyries, The Pursuit of Happiness
Novo Amor, From Gold
The Daydream Club, Soundwaves of Gold
High Highs, Bridge
Fleet Foxes, Blue Ridge Mountains
The Barr Brothers, Little Lover
Ciaran Lavery, Little More Time
Roo Panes, Tiger Striped Sky
Birdtalker, One
Mitch King, Burning
Eddie Berman, Sparrow
Kaleo, All The Pretty Girls - Recorded at Spotify Studios NYC
Lucius, Two of Us on the Run
Henry Jamison, The Rains
Dermot Kennedy, Boston
Bear's Den, Agape
Liza Anne, Thin Ice
Blessed Feathers, Wide World
Father John Misty, Funtimes in Babylon
Sufjan Stevens, All the Trees of the Field Will Clap Their Hands
Hozier, In A Week - Live From Spotify, London 2014
The Head and the Heart, Library Magic - Stinson Beach Sessions
Aisha Burns, Gatekeeper
Marit Larsen, Bluebelle mountain
Westward the Tide, Young Bodies
Max Gomez, Make It Me
The Ballroom Thieves, Sea Legs
The Wild Reeds, When I Go
