Maybon, Majesty
Betty Who, Human Touch
DEAMN, Give Me Your Love
Imagine Dragons, Whatever It Takes
Aash Mehta, Say Goodnight (feat. Capelle & Gavin Garris)
Loud Luxury, Show Me
Satin Jackets, Northern Lights
Ida Hallquist, Next To You
Nick Peters, No Love In Brooklyn
Lila, Tell You
Sam Feldt, Fade Away
Sondre Justad, Paradis
Severo, Oceans Away
Chelsea Cutler, Snow In October
Hook N Sling, If You're Hearing This
Tyron Hapi, Anyway
Dzeko, Heart Speak
Essen Hiort, Deep As The Night
James TW, For You
Ruben, Walls
Phlake, Gazette
Cezinando, Ingenting blir det samme men samme for meg
Robin Schulz, Like You Mean It
Khalid, Young Dumb & Broke
Ane Brun, I Want To Know What Love Is
Lauv, Easy Love
Alberto Ciccarini, Look4You
Tash Sultana, Mystik
Sam Seg, Still Thinking Of Me
Amanda Delara, Grown Ups
boy pablo, Everytime
Arshad Maimouni, Tilbake til meg
Simon Field, La La La
Mr. Probz, Gone feat. Anderson .Paak
PRETTYMUCH, Would You Mind
Era Istrefi, No I Love Yous
Frank Pierce, Vibe
Susanne Sundfør, Reincarnation
In Real Life, Eyes Closed
ARY, Already There
Darling West, Traveller
Luca Schreiner, Out of My Mind
