Mic Nice, My House
Pitbull, Time of Our Lives
Earsley, STILL HERE
Steve Aoki, Delirious (Boneless)
Mo Dope, Lean on Me
Jimmy Wopo, Boss of Bosses
Steve Aoki, I Love It When You Cry (Moxoki) - Radio Edit
WAV, Again
Zak Downtown, Zones
Goldsmith, Let You Go
Pk Delay, Fed Up
Afrojack, Ten Feet Tall
Code G, Fleas
Thouxanbanfauni, Getit Clappin
Alesso, Heroes (we could be)
CyHi The Prynce, Dat Side
Jimmy Wopo, Lil Heavy
Ollie Joseph, Figure It Out
Machine Gun Kelly, A Little More
Flipp Dinero, Time Goes Down (Remix)
CyHi The Prynce, Dat Side
Jerm 9V, Too Many
Outasight, Now or Never
G Herbo, Everything
SCRVP, Gravitate (feat. Duelle)
The Chainsmokers, Closer
Drake, One Dance
Trevor Lanier, Don't Talk so Much
Drake, Controlla
Drake, Childs Play
Drake, Jumpman
The Chainsmokers, Don't Let Me Down
Lil Wayne, Sucker For Pain (with Logic & Ty Dolla $ign feat. X Ambassadors)
Drake, Too Good
Creek Boyz, With My Team
Calvin Harris, This Is What You Came For
DRAM, Broccoli
Desiigner, Panda
Cheat Codes, Let Me Hold You (Turn Me On)
TAOG, Dirty Laundry
Mike Posner, I Took A Pill In Ibiza - Seeb Remix
Kent Jones, Don't Mind
Kevin Rudolf, Champions - Edited
Kanye West, Gold Digger - Album Version (Edited)
Fat Joe, All The Way Up
JAY Z, Numb / Encore
Eminem, Rap God
Eminem, The Real Slim Shady
Eminem, Without Me
Dr. Dre, Still D.R.E. - Album Version (Edited)
Dr. Dre, The Next Episode - Album Version (Edited)
Childish Gambino, V. 3005
Childish Gambino, IV. Sweatpants
Lil Wayne, 6 Foot 7 Foot - Edited Version
Three 6 Mafia, Lolli Lolli (Pop That Body)
B.o.B, So Good
Josiah Williams, I Like It
Josiah Williams, Let It Ride
Josiah Williams, I Feel It (feat. Shumba Maasai)
Hanne Leland, Keep On Movin
The Weeknd, Starboy
G-Eazy, I Mean It
J. Cole, G.O.M.D.
J. Cole, No Role Modelz
Wale, MY PYT
Kid Ink, Ride Out
Meek Mill, Ima Boss (feat. Rick Ross)
50 Cent, Patiently Waiting - Album Version (Edited)
Machine Gun Kelly, Invincible (feat. Ester Dean)
X Ambassadors, Jungle
Wiz Khalifa, We Dem Boyz
Drake, 0 To 100 / The Catch Up
Drake, Started From the Bottom
Kanye West, Clique - Edited Version
Eminem, Survival
Kanye West, Amazing
Archie Eversole, We Ready
DJ Khaled, All I Do Is Win - Feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross
Troop 41, Do The John Wall
Trapt, Headstrong
Linkin Park, BURN IT DOWN
Usher, More - RedOne Jimmy Joker Remix
The Script, Hall of Fame
Pitbull, Timber
Lupe Fiasco, Battle Scars
Macklemore & Ryan Lewis, Can't Hold Us - feat. Ray Dalton
Busta Rhymes, We Made It (feat. Linkin Park)
Avicii, Wake Me Up
2 Chainz, We Own It (Fast & Furious)
Ludacris, Rest Of My Life
The Offspring, You're Gonna Go Far, Kid - Clean Album Version
Eminem, 'Till I Collapse
Fort Minor, Remember The Name (feat. Styles Of Beyond)
T.I., Bring Em Out - Amended
Macklemore & Ryan Lewis, Thrift Shop (feat. Wanz)
Nelly, Heart Of A Champion
Kanye West, Stronger
Eminem, Lose Yourself - Soundtrack Version
Kevin Rudolf, I Made It (Cash Money Heroes)
Eminem, Not Afraid
Drake, Forever - Album Version (Edited)
DJ Khaled, Out Here Grindin'
Eminem, Cinderella Man
Fabolous, My Time - Album Version (Edited)
Maino, All The Above
Flipsyde, Someday - Album Version (Edited)
Kanye West, All Of The Lights - Album Version (Edited)
Ace Hood, Overtime - Album Version (Edited)
Ludacris, Get Back
Pitbull, Triumph
Waka Flocka Flame, No Hands (feat. Roscoe Dash and Wale)
Roscoe Dash, All The Way Turnt Up
Kid Cudi, Pursuit Of Happiness (nightmare) - Album Version (Edited)
Soulja Boy, Turn My Swag On
David Guetta, Play Hard (feat. Ne-Yo & Akon) - feat. Ne-Yo & Akon
Eminem, Berzerk
Linkin Park, In The End
Avicii, Levels - Radio Edit
T.I., Ball - feat. Lil Wayne
David Guetta, I Can Only Imagine (feat. Chris Brown & Lil Wayne) - feat. Chris Brown & Lil Wayne
Wiz Khalifa, No Sleep
B.o.B, HeadBand (feat. 2 Chainz)
Kanye West, POWER - Album Version (Edited)
Katy Perry, Dark Horse
Macklemore & Ryan Lewis, White Walls (feat. ScHoolboy Q & Hollis)
Jeezy, Put On - Album Version (Edited)
Martin Garrix, Animals - Extended
Lupe Fiasco, The Show Goes On
Aloe Blacc, The Man
Dropkick Murphys, I'm Shipping Up To Boston
Avicii, The Nights
Cash Cash, Take Me Home (feat. Bebe Rexha)
Mike WiLL Made-It, 23
D.J.I.G. & Alex Kresovich, Now's My Time (Nba 2k12 Theme) [feat. Elizabeth Elidades]
Fall Out Boy, Centuries
Kid Ink, Hell & Back
JAY Z, Who Gon Stop Me - Album Version (Edited)
Lupe Fiasco, Battle Scars
Tiësto, Red Lights
Armin van Buuren, This Is What It Feels Like
Juicy J, Shell Shocked (feat. Kill The Noise & Madsonik) - From "Teenage Mutant Ninja Turtles"
