Lower Than Atlantis, Had Enough
Royal Blood, Lights Out
Grace Mitchell, Kids (Ain't All Right)
Deaf Havana, Trigger
Mallory Knox, Better Off Without You
Himalayas, Thank God I'm Not You
Thirty Seconds To Mars, Walk On Water
While She Sleeps, Hurricane
Nothing But Thieves, Amsterdam
Frank Carter & The Rattlesnakes, Lullaby
You Me At Six, Night People
Pvris, No Mercy
The Pale White, Turn It Around
Queens of the Stone Age, The Way You Used To Do
Creeper, Misery
YONAKA, Wouldn't Wanna Be Ya
Neck Deep, In Bloom
Foo Fighters, The Sky Is A Neighborhood
Fall Out Boy, The Last Of The Real Ones
DON BROCO, Technology
Black Honey, Somebody Better
Muse, Dig Down
The Amazons, In My Mind
Imagine Dragons, Believer
Tonight Alive, World Away
Welshly Arms, Legendary
Trash Boat, Tring Quarry
Saint PHNX, Rise
Moose Blood, Honey
Catch Fire, Thin Ice
Thrice, Black Honey
Homebound, Sonder
Twin Wild, Suburban Dreams
Highly Suspect, My Name Is Human
Danny Worsnop, I Got Bones
The Blinders, Brave New World
Young Guns, Echoes
Death From Above 1979, Freeze Me
Dan Owen, Hideaway
Hidden Charms, I Just Wanna Be Left Alone
Otherkin, Yeah, I Know
Pulled Apart By Horses, The Big What If
YVES, You Wanna Know
We Came From Wolves, Falling
INHEAVEN, Treats
Barns Courtney, Champion
Falling In Reverse, Fuck You and All Your Friends
FREAK, No Money
ONE OK ROCK, American Girls
The XCERTS, Feels Like Falling in Love
