Jonathan Tilkin, Daydreamin
Karina, Slow Motion
Sara Bareilles, Love Song
Sara Bareilles, I Choose You
Us The Duo, Better Together
Jason Mraz, I'm Yours
Frankie Valli, Can't Take My Eyes Off You
Bruno Mars, Marry You
Ed Sheeran, Photograph
Ed Sheeran, How Would You Feel (Paean)
Ed Sheeran, Thinking Out Loud
Us The Duo, No Matter Where You Are
Us The Duo, Missin' You Like Crazy
Ingrid Michaelson, You and I
Jason Mraz, Lucky
Colbie Caillat, Bubbly
Colbie Caillat, Fallin' For You
Kina Grannis, Valentine
Tatiana Manaois, Can't Help Falling in Love
Tatiana Manaois, Beauty Sings
Justin Bieber, Die In Your Arms
Justin Bieber, U Smile
AJ Rafael, We Could Happen
Jeremy Passion, Lemonade - Ukulele Version
Jeff Bernat, If You Wonder
James Arthur, Say You Won't Let Go
Vanessa Carlton, A Thousand Miles
Meghan Trainor, Dear Future Husband
Jason Derulo, Marry Me
Us The Duo, I Will Wait For You
Us The Duo, Near Or Far
Emily King, Distance
Plain White T's, 1, 2, 3, 4
Jason Mraz, I Won't Give Up
Colbie Caillat, I Do
Ariana Grande, Honeymoon Avenue
Ariana Grande, Tattooed Heart
Ariana Grande, Daydreamin'
Ariana Grande, Moonlight
Yuna, Crush
Tori Kelly, I Was Made For Loving You
Birdy, Tee Shirt
Nathan Sykes, Over And Over Again
Ingrid Michaelson, The Way I Am
Daniel Caesar, Get You (feat. Kali Uchis)
Daniel Caesar, Best Part (feat. H.E.R.)
Ed Sheeran, Perfect
Ed Sheeran, Photograph
Ed Sheeran, Tenerife Sea
Ed Sheeran, Kiss Me
Bruno Mars, Just The Way You Are
Christina Perri, A Thousand Years
Jason Mraz, I Won't Give Up
Ellie Goulding, Love Me Like You Do - From "Fifty Shades Of Grey"
Oh Wonder, Without You
Us The Duo, Take Me Home
Zara Larsson, I Can't Fall in Love Without You
One Direction, Little Things
Meghan Trainor, Like I'm Gonna Lose You
John Legend, You & I (Nobody in the World)
Albert Posis, Serendipity
AJ Rafael, She Was Mine (feat. Jesse Barrera)
David Choi, By My Side
Ariana Grande, Almost Is Never Enough
Gabe Bondoc, First Choice
Jayesslee, Officially Missing You
Jeff Bernat, Call You Mine (feat. Geologic Of The Blue Scholars)
AJ Rafael, Red Roses
Jeff Bernat, Ms. Seductive
Gabe Bondoc, If We'd Never Met
Michael Alvarado, Slow Love
Joseph Vincent, Our First Song
