Mbo Mentho, Sea Mist
Ólafur Arnalds, Doria
Karin Borg, Kebnekajse
Novo Talos, Longevity
Oneke, Rays of Hope
Johannes Bornlof, Nocturnal Waltz
Matt Stewart-Evans, Waltz for Dreamers
Paddy Mulcahy, Waltz Sketch
Philip Glass, Opening
Gabriel Parker, Fractions
Gavin Luke, Delicate Transitions
Joep Beving, Midwayer
Mike Lazarev, Unhinged
Lo Mimieux, Nightingale
Angus MacRae, Mirror Lake
Oskar Schuster, Vleurgat
Peter Sandberg, Remove The Complexities
Heinali, Scarf
Elba, And Along Came the Rain
Sophie Hutchings, Grace II
Gabriel Parker, Phase One
Tonie Green, Away
Leo Finka, Sentimental
Alex Kozobolis, If You Came Here To Live (in memory of Mary Skinner)
Heinali, Sway, Sway
Benny Treskow, Sunday Stroll
Gabriel Parker, Intervention
Stray Ghost, Two steps too often aside (Early Variation I)
Anna Rose Carter, A Mirror Sitting
Mélanie Laurent, Fin
Mia Strass, Troll
Peter Sandberg, Synesthesia
Johannes Bornlof, Serene
Lo Mimieux, Berceuse
Anna Rose Carter, Unstitch
Dylan Francis, Equal
Mia Strass, Warm Darkness
Matt Stewart-Evans, Music Box
Elba, The Last Hour of Loneliness
Saga Rosen, Wings
Milo Stavos, A New Day
Once Proven, Contemplating No Thing
Ari Naman, Becoming Aware
Agatha Reilly, Fantasazing
Martin Skoog, Waves From a Distance
Allysa Nelson, The Carousel
Pernilla Mayer, Free From Boundaries
Jeff Bright Jr, A Sky Full of Flowers
Hilda Atkins, Spanish Evening
Mike Lazarev, Reprise
