Justin Bieber, Love Yourself
Troye Sivan, YOUTH
Sam Smith, Like I Can
Twenty One Pilots, Stressed Out
Lukas Graham, 7 Years
X Ambassadors, Renegades
A Great Big World, Oasis
Andra Day, Rise Up
Haley Reinhart, Can't Help Falling in Love
Nico & Vinz, That's How You Know (feat. Kid Ink & Bebe Rexha)
Parson James, Stole the Show
Gwen Stefani, Used To Love You
Snakehips, All My Friends
Jess Glynne, Take Me Home
The Weeknd, Dark Times
Who Is Fancy, Boys Like You
Adele, Don't You Remember
Hozier, Work Song
Adele, When We Were Young
ZAYN, PILLOWTALK
Mike Posner, I Took A Pill In Ibiza - Seeb Remix
Rihanna, Kiss It Better
Hailee Steinfeld, Rock Bottom
Troye Sivan, WILD
ZAYN, LIKE I WOULD
Sigala, Easy Love
ZAYN, SHE DON'T LOVE ME
Rihanna, Needed Me
Ariana Grande, Thinking Bout You
Ed Sheeran, Don't
Lana Del Rey, Summertime Sadness
Ariana Grande, True Love
