Tep No, Toluca Lake
Haux, Homegrown - Empty Woods Remix
Ella Vos, Rearrange
Mansionair, Astronaut - Something About Your Love
Alex Lustig, Afterglow
Eighty Ninety, Your Favorite Song
RKCB, Naive
Lilla Vargen, Downtown
AKAY, Lights Out
Terence Ryan, Nothing
Bipolar Sunshine, Major Love
SŸDE, Orbit
Billie Eilish, Bellyache - Marian Hill Remix
Ella Vos, Suddenly
Cody Lovaas, Lie
The Brinks, Comatose
Two Feet, Quick Musical Doodles
Yuppycult, I Feel U (feat. Rachel Salvit)
EDEN, gold
Haulm, They Came Along
Plake, Eden
Abi Ocia, Running
JP Saxe, Anybody Else
Akurei, Hinterland
Allday, In Motion
Milk & Bone, Daydream
Hazey Eyes, Some Reason
Ella Vos, I Know You Care
Sasha Sloan, Ready Yet
Alex Lustig, U
Kennedi, Last Cigarette
MOSSS, Here If You Want (Pale Blue)
Joji, Demons
Evalyn, Filthy Rich
Toulouse, Reach Out
Grace Weber, More Than Friends
Lolo Zouaï, High Highs to Low Lows
Two Feet, I Feel Like I'm Drowning
BAYNK, Come Home
Bibio, Petals
R3HAB, You Could Be
slenderbodies, anemone
Lauv, Paris in the Rain
Shallou, You and Me
Jata, Mephisto
Nuit Oceān, Falling Night
Sam Austins, youngin'
Patrick Baker, Only
Mishegas, Tonight
Benji Lewis, Drift
BAYNK, Come Home - Hazey Eyes Remix
Mansionair, Easier
Angus & Julia Stone, Chateau
Tyne, Crawl
nite swim, Convertible
Cautious Clay, Cold War
AmPm, Darling Break Free
Jackson Penn, Streetlights on Mars
Ella Vos, Mother (Don't Cry)
TOKiMONSTA, Don't Call Me (feat. Yuna)
Fortunes., Daddies
Haulm, Settle
Shallou, Begin (feat. Wales)
Michl, Everything'll Change
Future Jr., Sentimental Trick
Yoste, Chihiro
Jack Grace, BE4UGO
Stalgia, Euphoria
Lyves, Cover Me
San Scout, You Instead
Calper, Stay Calm
Haux, Youth
Rainsford, Intentions
VALNTN, Can't Let Go (feat. Emilia Ali)
Rex Orange County, Loving Is Easy
CLAVVS, Like Daggers
SATICA, You Are Here
Aisha Badru, Mind on Fire - Franz Matthews Remix
Shoffy, Flags
Slow Magic, Belong 2 Me - Sunset Edit
Black Coast, Medicine (feat. Ponette)
shey baba, Requiem - Single
HYDDE, I Am The Mountain
Abi Ocia, Expo
George Maple, Everybody Here Wants You
Erik Sing, Leave You Alone
Julian Lamadrid, Warm
Evalyn, Rather Be Dead
Eric Sharp, Take This Time
Charlotte Day Wilson, Doubt
Bearcubs, Do You Feel
Tyne, I'm Down
Jadu Heart, Harry Brompton's Ice Tea
Rex Orange County, Edition
Rynn, Islands
Au/Ra, Outsiders
BANFF, Renew
Richard Walters, Nervous Energy
Kidswaste, Tonight
LEISURE, Money
Minke, Armour - Paperwhite Remix
Joji, Pills
Adia Victoria, Me And the Devil
Joji, Will He
Shallou, Friends - Recorded at Spotify Studios NYC
RYD, Work It Out
Ember Island, Hide Me
Denton Thrift, Fear in the Night
Audio Dope, Floating
Carmody, Like That
Anna Leone, My Soul I
Henry Green, Stay Here
Emmit Fenn, Modern Flame
Pierce Fulton, Fire on the Mountain - Recorded at Spotify Studios NYC
YEBBA, Evergreen
San Scout, Hold Fire
Morgan Saint, Glass House
The Undercover Dream Lovers, Come Home - Beshken Remix
