The War On Drugs, Thinking Of A Place
Kim Churchill, Second Hand Car
Hatchie, Try
Modest Mouse, Float On
The Avalanches, Because I’m Me
Lana Del Rey, Ride
Winston Surfshirt, Be About You
DOPE LEMON, Home Soon
Khalid, Location
Ryan Adams, To Be Without You
John Butler Trio, Zebra
Aldous Harding, Horizon
Thundercat, Show You the Way
Kingswood, Golden
Ben Harper, Diamonds On the Inside
Portugal. The Man, Feel It Still
Tom Petty, Wildflowers
Alabama Shakes, Hold On
Cloud Control, Panopticon
Sampa the Great, Rhymes To The East - Edit
Middle Kids, Never Start
Slowdive, Sugar for the Pill
Phoenix, J-Boy
Julie Byrne, Natural Blue
Calvin Harris, Slide
Touch Sensitive, Lay Down
Six60, Don't Give It Up
Edward Sharpe & The Magnetic Zeros, Home
Kendrick Lamar, LOYALTY. FEAT. RIHANNA.
HAIM, Want You Back
Washed Out, Get Lost
Angus & Julia Stone, Oakwood
Creedence Clearwater Revival, Have You Ever Seen The Rain?
Arcade Fire, Everything Now
Alvvays, In Undertow
Flight Facilities, Arty Boy
The Beautiful Girls, Lets Take To Long Way Home
Courtney Barnett, Over Everything
Jack River, Palo Alto
RÜFÜS, Innerbloom
Wolf Alice, Don’t Delete The Kisses
Northeast Party House, Calypso Beach
Unknown Mortal Orchestra, Swim and Sleep (Like a Shark)
Fortunes., Linen
Xavier Rudd, Follow The Sun
Tame Impala, Let It Happen
Green Buzzard, Never Let Me Go
Alexander Biggs, I'll Go My Way
Yumi Zouma, December
Kurt Vile, Pretty Pimpin
Mosquito Coast, Slow Down
Vance Joy, Lay It On Me
Lorde, Green Light
Maggie Rogers, Alaska
Eagles, Peaceful Easy Feeling
Tash Sultana, Mystik
Methyl Ethel, Ubu
Fleetwood Mac, Go Your Own Way - 2004 Remastered Edition
Sampha, Kora Sings
SZA, Doves In The Wind
Holy Holy, True Lovers
DMA'S, Dawning
Ball Park Music, Exactly How You Are
alt-J, In Cold Blood
Childish Gambino, Redbone
The Black Keys, Lonely Boy
Paul Kelly, Firewood And Candles
Neil Young, Heart Of Gold - Remastered Album Version
Harry Styles, Kiwi
The Jezabels, Endless Summer
Mac Demarco, My Old Man
Future, Mask Off
Real Estate, It's Real
Ali Barter, Cigarette
Lil Uzi Vert, XO TOUR Llif3
Father John Misty, Total Entertainment Forever
Phoenix, Goodbye Soleil
The Lemon Twigs, I Wanna Prove to You
Creedence Clearwater Revival, Fortunate Son
Washed Out, Feel It All Around
Yeasayer, 2080
Pond, Paint Me Silver
Hibou, Above Us
Clubfeet, Cape Town - Panama Remix
Ariel Pink, One Summer Night
Car Seat Headrest, Drunk Drivers/Killer Whales
Morgan Delt, Some Sunsick Day
Skegss, Soaking It All In
Vince Staples, Summertime
Girls, Lust for Life
King Gizzard & The Lizard Wizard, Dusk To Dawn On Lygon Street
Whitney, Golden Days
Day Wave, Something Here
Tame Impala, The Less I Know The Better
Stone Temple Pilots, Interstate Love Song
The Killers, When You Were Young
Paul Kelly, Firewood And Candles
Alvvays, Plimsoll Punks
Foreign/National, Mr Unlucky
The Ocean Party, Back Bar
