Terrible Sons, When I Don't Speak
MaJLo, Escape
Gurrumul, Wiyathul
Angus & Julia Stone, Snow
Passenger, Sweet Louise
The Paper Kites, Paint
George Byrne, Stars & Stripes
Declan J Donovan, Fallen so Young
RY X, Howling
Dan Sultan, Cul-de-sac
Villagers, Dawning On Me
Novo Amor, Colourway
Aldous Harding, Living The Classics
Didirri, Blind You
Holly Throsby, Aeroplane
Tinpan Orange, See You In The Water
Allman Brown, Sweetest Thing
Dustin Tebbutt, Atlas In Your Eye (For Jasper Jones)
Gretta Ray, Unexpected Feeling
Rod Ladgrove, Home Is Just a State of Mind
Jack the Fox, Brother
Noah Kahan, Young Blood - Acoustic
Louis Baker, Rainbow
Woodlock, Forever Ago
Hollow Coves, Coastline
Tom Odell, Magnetised - Acoustic
Whitley, More Than Life
SOAK, B a noBody (Spotify Session)
James Bay, Let It Go - Live From Spotify London/2015
Dan Auerbach, Never in My Wildest Dreams
Jamie Lawson, All Is Beauty
Sons Of The East, Into The Sun - EP Version
Matt Corby, Good To Be Alone
Slow Dancer, It Goes On
Benjamin Francis Leftwich, Tilikum
Emily Wurramara, Black Boy
Anna Of The North, Us (Acoustic)
Ásgeir, On That Day
Bruno Major, Just The Same
Amber Maya, Dance on the Mountain
Daggy Man, Little Whip
The Trouble With Templeton, Heavy Trouble
Hozier, Cherry Wine - Live
Fleet Foxes, If You Need To, Keep Time On Me
Noah Kahan, Sink
Luluc, Without A Face
The Middle East, Blood
Vance Joy, Emmylou
Dean Lewis, Waves - Guitar Acoustic
Julien Baker, Distant Solar Systems
Gavin James, Sorry (Live)
All Our Exes Live in Texas, When The Sun Comes Up
Låpsley, Falling Short (Live from Spotify London)
TEEKS, If Only
James TW, When You Love Someone - Acoustic
Daggy Man, Little Whip
North Elements, Coastline - Acoustic Version
Kyle Lionhart, Moving Forward
Little May, Boardwalks
Michael Kiwanuka, Cold Little Heart - Radio Edit
