Kill the Kat, Hot Music (Funkerman Edit)
Tonio Geugelin, Schillerize
Decision, Believe (feat. Carl Olander)
Petit Biscuit, Beam
NoMBe, California Girls (NoMBe vs. Sonny Alven)
J Lisk, NYC
Clément Bcx, Miracle in the Middle of My Heart - Radio Edit
Leroy Styles, Can't Let Go
Shallou, Heights
Nora En Pure, On the Beach - Short Edit
Mentum, Haunted
Burak Yeter, Happy
Kungs, Milos
twocolors, Follow You (feat. Muringa)
Embody, Remember Us
Lander, The Dawn
On June, Sunrise
Angerwolf, Slippin'
Sara Costa, Sirop
State of Sound, Higher Love
Gnarly Gibbs, I Need My Girl
Maverick Sabre, I Need (Remix)
mAsis, Good Life
Lesko Cerf, Breathe
AFSHeeN, Tunnel - Radio Edit
Rachèl Louise, Far Away - Rui Remix
Nyxen, Running
Cry Boy Cry, My Heart Is So Heavy - Album Edit
Svenja Leopold, One (Belle de Jour Remix) [Edit]
Sebastien, Gold
Silience, I Found Love
MIKVH, It's Alright
Aevion, Steps
Seeb, What Do You Love
GANZ, Light Years
Krono, You're Beautiful
Jon Sine, All About
Levi, Sail
Y.V.E. 48, Montrose Ave
Lliam Taylor, Someday
Bakermat, Ballade - Original Mix
SŸDE, Orbit
Don Diablo, Silence ft. Dave Thomas Junior
Eelke Kleijn, Mistakes I've Made - Radio Edit
Sunnery James & Ryan Marciano, The One That Got Away
Moguai, Hold On - Alle Farben Remix
Robin Schulz, Heatwave (feat. Akon)
Janieck, Feel The Love - Sam Feldt Edit
L'Tric, The Way You Are
Sunset Child, Chew Candy (Never Seen Anything Like You) - Radio Edit
Mike Perry, Talk About It
Sebastien, Music In You
Kaskade, Fakin It (feat. Ofelia K)
Campsite Dream, Don't Worry - Radio Edit
Synapson, Fireball (feat. Broken Back)
Deep Chills, Blinded
Michael Calfan, Breaking the Doors
Maan on the Moon, Scar
Eelke Kleijn, Home
Krono, We Are So Animal
Broken Back, Halcyon Birds
Embody, Dreamin'
Joachim Pastor, Laos - Original Mix
PANG!, Cigarette
Sondr, Surviving
M-22, Good To Be Loved - Radio Edit
Gostan, Take Me - Radio Edit
Nathan Goshen, Thinking About It (Let It Go) - KVR Remix
Floral, Need To Feel Loved - YOUNOTUS Edit
Matt Simons, Catch & Release (Deepend remix)
Wild Royal Coast, It's All About Love
Vijay & Sofia Zlatko, World of Colors
Tep No, Karma, You Got Owned
Hellberg, Better - Radio Edit
Sam Feldt, Runaways
Tinlicker, Because You Move Me
A R I Z O N A, I Was Wrong - Robin Schulz Remix
Y.V.E. 48, Big Sur
Zac Samuel, Play It Cool
Fynn, Torn Apart
Le Youth, If You're Leaving
Felix Cartal, Drifting Away
Crooked Colours, Flow
Achtabahn, To The King - Radio Edit
Alok, Hear Me Now
Jesse Aerox, Take Me Away
Owkey, Know Myself
Dennis Lloyd, Nevermind
Dennis Lloyd, Nevermind
Ben DJ, Thinkin' Bout You - Radio Edit
Florian Paetzold, Edge of Tomorrow
Sarazar, Traveller
Yotto, Edge Of Affection
GoldFish, Rising Sun
Mike Candys, Never Walk Alone - Radio Edit
John Dahlbäck, Catch Me If You Can
Honey Dijon, Look Ahead (feat. Sam Sparro) - Extended Mix
Aslove, Feel Good
Sean Bradford, Kiss You Sober
De Hofnar, Fireburn
