Lady Gaga, Million Reasons
Amy Winehouse, Our Day Will Come
Nina Simone, My Baby Just Cares For Me
Bill Withers, Kissing My Love
Valerie June, Astral Plane
Joon Moon, Tiger
Dan Croll, Swim
Matt Pond PA, In Winter
Yumi Zouma, December
Yo La Tengo, Our Way to Fall
My Sad Captains, Everything at the End of Everything
Bel Heir, Born in the Waves
Joni Mitchell, A Case Of You
Aimee Mann, Goose Snow Cone
Feist, Gatekeeper
Stu Larsen, Aeroplanes
Lucinda Williams, Six Blocks Away
Joe Henry, Now and Never
Lana Del Rey, Beautiful People Beautiful Problems (feat. Stevie Nicks)
Norah Jones, Turn Me On
Stephin Merritt, The Book of Love
The Barr Brothers, You Would Have to Lose Your Mind
Stars, Losing To You
Batya, What's My Name
Leah Nobel, Not Ready to Say Goodbye
Chappell Roan, Bad For You
Liyv, Feeling Like Me
Matt Pond PA, The Glow
Loney Dear, Harbours / Harbors
My Sad Captains, Curtain Calls
Joe Henry, Believer
Lana Del Rey, Tomorrow Never Came (feat. Sean Ono Lennon)
Témé Tan, Hospital
Stu Larsen, Going Back to Bowenville
Lana Del Rey, White Mustang
Lucinda Williams, Which Will
David Ramirez, Twins
Joe Henry, World of This Room
My Sad Captains, Relive
Wolf Parade, You're Dreaming
Phoebe Bridgers, Motion Sickness
Coldplay, All I Can Think About Is You
ODESZA, Across The Room (feat. Leon Bridges)
Elbow, Gentle Storm
Lucy Rose, No Good At All
HAIM, Nothing's Wrong
JD McPherson, ON THE LIPS
Yusuf / Cat Stevens, See What Love Did to Me
Fantastic Negrito, A New Beginning
India.Arie, Life Is Good
Josh Ritter, Train Go By
Ásgeir, Stardust
Dave Stewart, Drowning In The Blues
Hiss Golden Messenger, Standing in the Doorway
Van Morrison, Bring It On Home To Me
Scarlet Parke, Sweet Honey
Beach House, Used to Be
Jesse Terry, Stargazer
Waxahatchee, 8 Ball
The xx, Seasons Run
Trashcan Sinatras, Weightlifting
RAC, Heavy
Noah Gundersen, BAD DESIRE
HAIM, Something To Tell You
Jade Bird, Cathedral
Carla Bruni, Love Letters
Passenger, Girl from the North Country (Cover)
Applewood Road, Losing My Religion
Son Little, Mad About You
This Is The Kit, Moonshine Freeze
Lost Horizons, The Places We've Been
Chad VanGaalen, Pine and Clover
Waxahatchee, Hear You
Madeline Kenney, Always
Scarlet Parke, Sleeves
Oh Wonder, Slip Away
Coldplay, Hypnotised - EP Mix
Randall Bramblett, Since You're Gone
The White Buffalo, If I Lost My Eyes
The Cornshed Sisters, The Message
Fantastic Negrito, The Time Has Come
