Silent Sanctuary, Bumalik Ka Na Sa'kin
Jona, Sampu
Gloc 9, Simpleng Tao - original
Mayonnaise, Bakit Part 2
O.C. Dawgs, Hayaan Mo Sila (Inspired by I'm the One)
Unit 406, Tanghaling Tapat
Moonstar88, Torete
Itchyworms, Akin Ka Na Lang
6cyclemind, Prinsesa
Bamboo, Much Has Been Said
Rocksteddy, Magpakailanman
Up Dharma Down, Tadhana
6cyclemind, Sandalan
Kamikazee, Narda
TJ Monterde, Mahika
Smugglaz, Nakakamiss
Callalily, Magbalik
Sud, Sila
Ben&Ben, Kathang Isip
Mayonnaise, Ipagpatawad Mo
Parokya Ni Edgar, The Yes Yes Show
Sugarfree, Burnout
Sud, Di Makatulog
Ron Henley, Biglang Liko
Barbie Almalbis, High
Kjwan, One Look
Sponge Cola, Gemini
Agsunta, 'Di Ba Halata
The Juans, Balisong (Theme Song of the Movie "100 Tula Para Kay Stella")
Noel Cabangon, Kahit Kailan
FRANCO, Better Days
Quest, Unang Hakbang (feat. Keiko Necesario)
Jireh Lim, Gabay
Top One Project, Ikaw Nga - Mulawin vs. Ravena Theme Song
James Reid, On Top
Donny Pangilinan, Did You
Leanne & Naara, New York And Back
Urbandub, Evidence
Iktus, Naghihintay
FrancisM, Suckin On Helium/Kaleidoscope World
Tony Labrusca, Tanging Ikaw
Gloc 9, TRPKNNMN
Hazel Faith, Love Fades
