Beck, Dreams
Arctic Monkeys, Snap Out of It
Toro y Moi, Campo
Roosevelt, Night Moves
MGMT, Electric Feel
Roosevelt, Teardrops
Roosevelt, Montreal
Foster The People, Call It What You Want
Roosevelt, Hold On
Roosevelt, Night Moves
Tame Impala, Solitude Is Bliss
Roosevelt, Wait Up
Island Club, Let Go
Red Hot Chili Peppers, Look Around
Fenech-Soler, Kaleidoscope
Gypsy & The Cat, Jona Vark
Blur, Ghost Ship
High Tyde, Speak
Tame Impala, The Moment
Klaxons, Golden Skans
Beach Baby, Limousine
The Wombats, Tokyo - Vampires & Wolves
Does It Offend You, Yeah?, Dawn Of The Dead
Red Hot Chili Peppers, Encore
Great Good Fine Ok, Take It or Leave It
Roosevelt, Hold On
Atlas Genius, Back Seat
Bay Ledges, Safe
Electric Guest, Back For Me
Atlas Genius, When It Was Now
Bad Suns, Salt
Bad Suns, Even in My Dreams, I Can't Win
St. Lucia, Elevate
Bad Suns, Learn to Trust
Fenech-Soler, Night Time TV
Fenech-Soler, HaHa
Two Door Cinema Club, Bad Decisions
Two Door Cinema Club, Bad Decisions
Neon Indian, Annie
CRUISR, Throw Shade
Ten Fé, Turn
Roosevelt, Colours
Midnight To Monaco, One Way Ticket
Two Door Cinema Club, Are We Ready? (Wreck)
Moon Taxi, Make Your Mind Up
CRUISR, All Over
Ra Ra Riot, Absolutely
STRFKR, Tape Machine
Two Door Cinema Club, Gameshow
The Whitest Boy Alive, Burning
Alphabetics, Paint Paint Paint
Future Haunts, Devon Loch
HUNNY, Cry for Me
Northeast Party House, The Haunted
VHS Collection, Ghost
Gemini Club, Fret & Regret
Two Door Cinema Club, Je Viens De La
Pompeya, Anyway
Saint Motel, Move
Fickle Friends, Say No More
Bad Suns, Heartbreaker
Fickle Friends, Swim
Sundara Karma, Loveblood
STRFKR, Satellite
STRFKR, Never Ever
Max Frost, Paranoia
Bad Suns, Swimming in the Moonlight
Electric Guest, My Omen
Neon Indian, Annie
Neon Indian, Annie
Max Frost, Adderall
Friendly Fires, Helpless
Renee, Change Your Style
Lindstrøm, Baby Can't Stop - Aeroplane Remix
White Lies, Tricky To Love
Neon Indian, Slumlord
Junior Boys, Over It
Holy Ghost!, Okay
Miike Snow, Black & Blue
Glass Animals, Gooey
Skylar Spence, Fiona Coyne
Shit Robot, Take 'Em Up
Poolside, Do You Believe (Original Mix)
Chromeo, Over Your Shoulder
Gregers, Right Track - Radio Edit
Chromeo, Come Alive (feat. Toro Y Moi)
Yeah Boy, Can't Get Enough - Sam Padrul Remix
Pnau, With You Forever
Tensnake, Love Sublime
Penguin Prison, Don't Fuck With My Money
Oliver Nelson, Found Your Love
Flight Facilities, With You
Chromeo, Hard To Say No
Panama, Always - Classixx Remix
Breakbot, Arrested
YACHT, Psychic City - Classixx Remix
Goldroom, Silhouette
RAC, Hollywood
Holy Ghost!, Wait & See
Capital Cities, Kangaroo Court
Foster The People, Best Friend
Foster The People, A Beginner's Guide to Destroying the Moon - Live From The Village
Mac Demarco, Chamber Of Reflection
Mac Demarco, Ode to Viceroy
Unknown Mortal Orchestra, Can’t Keep Checking My Phone
Mac Demarco, Freaking Out the Neighborhood
Gypsy & The Cat, Jona Vark
Tame Impala, Why Won't You Make Up Your Mind?
High Tyde, Glow
High Tyde, One Bullet
Them Crooked Vultures, New Fang
Kopecky, Talk To Me
Broken Bells, Control
Penguin Prison, In The Woods
Broken Bells, The Remains of Rock & Roll
Real Estate, Darling
Wannabe Jalva, Something New
Broken Bells, Medicine
Broken Bells, The Remains of Rock & Roll
Parcels, Overnight
Whitney, You’ve Got a Woman
Grizzly Bear, Four Cypresses
Sundara Karma, Explore
Night Moves, Carl Sagan
Islandis, Home
Wild Party, OutRight
Fickle Friends, Could Be Wrong
Frills, My Love
Foster The People, SHC
Peter Bjorn and John, Second Chance
The New Pornographers, High Ticket Attractions
Wannabe Jalva, Follow It
Hippo Campus, Way It Goes
The New Pornographers, High Ticket Attractions
Sticky Fingers, How To Fly
Foster The People, Sit Next to Me
Foster The People, Loyal Like Sid & Nancy
Portugal. The Man, Feel It Still
Atlas Genius, Stockholm
Sundara Karma, Flame
Electric Guest, Oh Devil
Mt. Joy, Sheep
The Shins, Name For You
Local Natives, I Saw You Close Your Eyes
Spoon, Hot Thoughts
The Growlers, City Club
Pond, Paint Me Silver
Foster The People, SHC
Craft Spells, After the Moment
Father John Misty, Real Love Baby
Future Islands, Aladdin
The Kills, Doing It To Death
The Kills, Doing It To Death
Mac Demarco, Blue Boy
Mac Demarco, Treat Her Better
Mac Demarco, Go Easy
The Growlers, Night Ride
The Growlers, Dope on a Rope
Real Estate, Crime
The Growlers, Late Bloomers
Cosmo Pyke, Chronic Sunshine
Pond, Sweep Me off My Feet
Warpaint, New Song
The Pass, Colors
Kasabian, Re-Wired
Arkells, Whistleblower
Dan Croll, Wanna Know
New Navy, Breathe - Télépopmusik Cover
Revolver, Wind Song
Autolux, Change My Head
Capital Cities, I Sold My Bed, But Not My Stereo
Capital Cities, Vowels
Miike Snow, Genghis Khan
Local Natives, Dark Days
Glass Animals, Youth
Washed Out, Feel It All Around
Siouxsie and the Banshees, Cities In Dust
Siouxsie and the Banshees, Cities In Dust
The Growlers, Dope on a Rope
Neon Indian, Polish Girl
Unknown Mortal Orchestra, So Good At Being in Trouble
Young the Giant, Silvertongue
The Growlers, I'll Be Around
Mac Demarco, Salad Days
Mac Demarco, My Kind of Woman
Mild High Club, Windowpane
Connan Mockasin, I'm The Man, That Will Find You
Mild High Club, Note to Self
Palehound, Cinnamon
Hey Champ, Silver City
Big Data, Dangerous (feat. Joywave)
Tame Impala, Expectation
Hey Champ, Cold Dust Girl
Tame Impala, Apocalypse Dreams
Miami Horror, Dark Love
Real Estate, Beneath The Dunes
Rainbow Kitten Surprise, Seven
James Curd, Say The Words To You (feat. Nah Man!)
Migos, Bad and Boujee (feat. Lil Uzi Vert)
Bleeker, Highway
Jorge Ben Jor, Medley: Por Causa De Você, Menina / Chove Chuva / Mas Que Nada
DJ Snake, Future Pt 2
Miles Kane, Telepathy
