Arthur Alexander, Anna (Go to Him)
The Staple Singers, Stand By Me
Abbey Lincoln, Conversation With A Baby
Solomon Burke, Don't Give Up On Me
Billie Holiday, Autumn In New York
John Coltrane, Naima
Frank Sinatra, Fly Me To The Moon
Julie London, Cry Me a River
Bobby Darin, Beyond The Sea
Duke Ellington, Take The "A" Train
Jamie Cullum, What A Difference A Day Made
Norah Jones, Carnival Town
Lisa Ekdahl, But Not For Me
Ella Fitzgerald, Baby It's Cold Outside
George Shearing, Guilty - 2001 Remastered Version
Frank Sinatra, Summer Wind
Charles Trenet, La mer
Otis Redding, (Sittin' On) The Dock Of The Bay
Chet Baker, That Old Feeling
João Gilberto, Chega de Saudade
Billie Holiday, Strange Fruit
Miles Davis, So What
Nat King Cole, L-O-V-E - 2000 Digital Remaster
Etta James, At Last - Single Version
The Dave Brubeck Quartet, Take Five
Dinah Washington, Mad About The Boy
Billie Holiday, Gloomy Sunday - Take 1
Perry Como, Papa Loves Mambo
Fats Waller, Ain't Missbehavin'
Tony Bennett, Body and Soul
Dean Martin, Everybody Loves Somebody
Ted Hawkins, Love For Sale
The Mamas & The Papas, Dream A Little Dream Of Me - Album Version With Introduction
Duke Ellington, Take The "A" Train
Carla Bruni, Jimmy Jazz
The Ink Spots, If I Didn't Care
Nat King Cole, Love Me As Though There Were No Tomorrow - 2001 Digital Remaster
Gerry Mulligan, Chelsea Bridge
Ella Fitzgerald, Bewitched, Bothered, And Bewildered
Frank Sinatra, Young At Heart - Remastered
Pink Martini, Sympathique
Mose Allison, I Don't Worry About A Thing
Bing Crosby, Ac-Cent-Tchu-Ate The Positive
Quincy Jones, Satisfaction
Madeleine Peyroux, Shout Sister Shout
Rod Stewart, That Old Feeling
Billie Holiday, I've Got My Love to Keep Me Warm
Pink Martini, Hang on Little Tomato
Nat King Cole, Almost Like Being In Love - 2000 Digital Remaster
Frank Sinatra, My Kind Of Town
Bing Crosby, Don't Fence Me In - Single Version
Billie Holiday, What a Little Moonlight Can Do
Gregory Porter, Smile
Nina Simone, My Baby Just Cares For Me
Ella Fitzgerald, I'm Making Believe
Nat King Cole, When I Fall In Love
Sammy Davis Jr., If My Friends Could See Me Now - 2016 Remaster
Louis Armstrong, A Kiss To Build A Dream On
Duke Ellington, In A Sentimental Mood
Billie Holiday, Easy Living - Remastered
Nat King Cole, Unforgettable
Wes Montgomery, In Your Own Sweet Way
Cécile McLorin Salvant, I Didn't Know What Time It Was
Blossom Dearie, I Won't Dance
Henry "Red" Allen, Just A Closer Walk With Thee
B.B. King, Is You Is or Is You Ain't (My Baby)
Tony Scott, Tenderly
Gregory Porter, Wind Song
Sister Rosetta Tharpe, My Journey To The Sky
Fats Waller, Ain't Misbehavin
Silje Nergaard, Let There Be Love
Laika, Imagination
Patsy Cline, Crazy
Ella Fitzgerald, Someone To Watch Over Me
Jeri Southern, It's Delovely
Perry Como, Catch a Falling Star
Frank Sinatra, Luck Be A Lady
Danny Kaye, Civilization (Bongo, Bongo, Bongo)
Bing Crosby, Swinging On A Star - Single Version
Louis Armstrong, Summertime
Dinah Washington, Is You Is Or Is You Ain't My Baby - 2002 Remastered Version
Benny Goodman, Sing, Sing, Sing
Gene Ammons, My Romance
The Ink Spots, I Don't Want to Set The World on Fire
Ray Charles, I Can't Stop Loving You
Sammy Davis Jr., All Of You
Bob Dylan, I Could Have Told You
Marilyn Monroe, I Wanna Be Loved by You (From "Some Like It Hot")
John Coltrane, My One And Only Love
Sammy Davis Jr., Mr. Bojangles - Single Version
The Tributers, Blue Skies
Sam Cooke, You Send Me
Billie Holiday, All of Me
Susie Arioli, Un Jour De Différence
Tony Bennett, Anything Goes
She & Him, Let It Snow
Ella Fitzgerald, It's Only A Paper Moon
Oscar Peterson Trio, I Got It Bad And That Ain't Good
Harry Connick, Jr., It Had to Be You (Big Band and Vocals)
Dean Martin, Ain't That A Kick In The Head - 1996 Digital Remaster
