Starset, My Demons
Alien Ant Farm, Smooth Criminal
Linkin Park, Hit The Floor
Thousand Foot Krutch, Phenomenon
Thousand Foot Krutch, War of Change
Papa Roach, Still Swingin'
Thousand Foot Krutch, Fire It Up
Rise Against, I Don’t Want To Be Here Anymore
JAY Z, Points Of Authority / 99 Problems / One Step Closer
Pop Evil, Deal with the Devil
Linkin Park, Papercut
Trapt, Headstrong
The Hives, Tick Tick Boom
Skillet, Hero
Seether, Fake It
Seether, Words As Weapons
Seether, Remedy
Fall Out Boy, Centuries
Fall Out Boy, The Phoenix
Fall Out Boy, Irresistible
Korn, Hater
Tantric, Breakdown
Hollywood Undead, War Child
Dropkick Murphys, I'm Shipping Up To Boston
Fall Out Boy, I Don't Care
Fall Out Boy, Beat It - Studio Version
Mötley Crüe, Kickstart My Heart
Skillet, Monster
Finger Eleven, Living In A Dream
Smash Into Pieces, Disaster Highway
Danko Jones, Gonna Be A Fight Tonight
Thousand Foot Krutch, Welcome to the Masquerade
Linkin Park, New Divide
Egypt Central, Kick Ass
Egypt Central, White Rabbit
Egypt Central, Over And Under
Thousand Foot Krutch, Courtesy Call
Thousand Foot Krutch, Move
Hollywood Undead, Another Way Out
Saliva, Click Click Boom
Thousand Foot Krutch, E for Extinction
Monstaz., Give It Away - Original Mix
Insert Coin, A Lot? Not Enough!
Five Finger Death Punch, Lift Me Up (feat. Rob Halford of Judas Priest)
Hollywood Undead, Gravity
Bullets And Octane, Pirates 2009
Nirvana, Rape Me
The Offspring, Coming for You
Blur, Song 2
Foo Fighters, The Pretender
3 Doors Down, Kryptonite
Three Days Grace, Painkiller
The Killers, Somebody Told Me
Lenny Kravitz, Are You Gonna Go My Way
Rammstein, AMERIKA
Polarkreis 18, Allein, Alene
Five Finger Death Punch, House of The Rising Sun
Rammstein, Du hast
Disturbed, Warrior
Live My Last, Lets Get This Started Again
Slash, World On Fire
Saliva, Always
Atreyu, Falling Down
Shaman's Harvest, Dangerous
Godsmack, 1000hp
Muse, Psycho
Nine Lashes, Never Back Down
Shinedown, Devour
Lansdowne, Watch Me Burn
Lansdowne, Burn Brighter
Lansdowne, One Shot
Art Of Dying, Get Through This
Rev Theory, Hell Yeah
Nickelback, Edge Of A Revolution
Linkin Park, A LIGHT THAT NEVER COMES
Thousand Foot Krutch, Untraveled Road
Rise Against, Savior
Blockheads, Rise
Sherlock Brothers, My Way
3 Doors Down, Believer
Rob Zombie, Feel So Numb
The Red Jumpsuit Apparatus, False Pretense
Sick Puppies, Gunfight
Rise Against, Re-Education (Through Labor)
Fall Out Boy, My Songs Know What You Did In The Dark (Light Em Up)
Sick Puppies, You're Going Down
Korn, Word Up!
Papa Roach, Where Did The Angels Go
The Offspring, You're Gonna Go Far, Kid
Bring Me The Horizon, Throne
Metallica, Sad But True
Babylon Rockets, You Spin Me Round
Skindred, Kill the Power
Buckcherry, Gluttony
Buckcherry, The Motherfucker
