Michael Kaneko, It Takes Two
Portugal. The Man, Feel It Still
Jet, Are You Gonna Be My Girl
the peggies, I 御中~文房具屋さんにあった試し書きだけで歌をつくってみました。~
Kaela Kimura, リルラ リルハ
Alex Lahey, I Love You Like A Brother
The Donnas, Take It Off
ELLEGARDEN, Missing
The White Stripes, The Hardest Button To Button
DYGL, Let It Out
Noel Gallagher's High Flying Birds, She Taught Me How To Fly
U2, Get Out Of Your Own Way
katyusha, I Like Me
[Alexandros], 明日、また
LEGO BIG MORL, 一秒のあいだ
Aimer, ONE
Newspeak, July
MIOSIC, Thank you
Niall Horan, On The Loose
Beck, UP ALL NIGHT - x DAOKO
Mizuki Ohira, Good Night - Xmas Remix by The Hotpantz
Jamiroquai, Little L
Tuxedo, 2nd Time Around
Klingande, Pumped Up
Tiësto, Carry You Home
BRIAN SHINSEKAI, ルーシー・キャント・ダンス
Dua Lipa, New Rules - Initial Talk Remix
Taichi Mukai, FREER
WEDNESDAY CAMPANELLA, ガラ
Chromeo, Juice
SIRUP, Synapse
NONA REEVES, Sweet Survivor
MIKA, It's My House
Sia, Santa's Coming For Us
Luis Fonsi, Échame La Culpa
Beverly, Despacito
Flo Rida, Hola (feat. Maluma)
Diplo, Get It Right (feat. MØ)
Jin Akanishi, Fill Me Up
Liam Payne, Bedroom Floor
KIRINJI, AIの逃避行
Scarf & the SuspenderS, K.I.K.E
KICK THE CAN CREW, 千%
Ovall, Winter Lights
Soil & "Pimp" Sessions, ユメマカセ
Soil & "Pimp" Sessions, Apple Gravitate Toward Core of Star
Joe Fox, What's The Word (feat. Nas)
Amy Winehouse, Tears Dry On Their Own
Corinne Bailey Rae, Put Your Records On
Mizuki Ohira, アロエの花
starRo, Maybe
Hiroshi Fujiwara, WALKING MEN
Mura Masa, Love$ick (feat. A$AP Rocky)
Drake, One Dance
Tory Lanez, Skrt Skrt
Miguel, Pineapple Skies
RIRI, RUSH -Seiho Remix
Evanturetime, Sober
FRIENDS, NIGHT TOWN
Yasuyuki Horigome, THE FLY + tofubeats
