Kygo, Stargazing
Alan Walker, All Falls Down
Selena Gomez, Wolves
Xuitcasecity, Need Somebody
Maria Lynn, All or Nothing
Gabrielle Aplin, Waking Up Slow - Piano
Tash, I Don't Like Parties
Molly Kate Kestner, Footprints
Craig David, I Know You
James Carter, These Days
Emeli Sandé, Starlight - Acoustic
Yellow Claw, Both of Us
Matoma, Slow (feat. Noah Cyrus)
Public Access T.V., Metrotech
JNYR, Twenty Ten
R3HAB, Talking to You
Jack Vallier, Change Your Mind - Stripped
Elbow, Golden Slumbers
Meadowlark, May I Have This Dance
Rita Ora, Anywhere
Dagny, Wearing Nothing - Cheat Codes X CADE Remix
Lost Frequencies, Crazy
Cat Clyde, Mama Said
Alan Walker, The Spectre
Lost Kings, Quit You
LYSA, Beats And Battle Drums
Jane XØ, Let Me Down Easy
Maria Lynn, Up
Lila, Don't Let Go
Halsey, Now Or Never
LevyGrey, Insert Title Here
George Ogilvie, Foreign Hands
Grandtheft, Square One
Steve Void, Hide and Seek
ADI, Carribish
RAYE, Sober - Stripped
Tom Speight, One More Night
Sarah Close, Only You - Acoustic
Clara, What They Say
Rita Ora, Your Song
SHY Martin, Good Together
Lost Kings, Look At Us Now
Avicii, You Be Love (feat. Billy Raffoul)
LDN NOISE, Rockstar
MMXJ, Home
Portugal. The Man, Feel It Still
Tavi Montelle, Stained (Freestyle)
Dua Lipa, New Rules - Initial Talk Remix
Soulé, What Do You Know
Sigala, Came Here for Love
Cat Clyde, The River
Sigrid, Strangers
ALMA, Phases
Xuitcasecity, Stay The Night
Stephanie Rainey, Sorry
JP Cooper, Wait
Ed Sheeran, Perfect
DAY_S, Last Night - Acoustic
Corinne Bailey Rae, The Scientist - From "Fifty Shades Darker (Original Motion Picture Soundtrack)"
Sam Smith, No Peace
Astrid S, Think Before I Talk
Diplo, Get It Right (feat. MØ)
Alok, Big Jet Plane
Joakim Lundell, Only Human
Marshmello, Silence
Shawn Hook, Reminding Me
AlunaGeorge, Turn Up The Love
Tone Damli, Strangers
Coucheron, Barely Floating (feat. Matilda)
Maria Lynn, Diamonds
Vigiland, Another Shot
David Guetta, Dirty Sexy Money (feat. Charli XCX & French Montana)
Tove Styrke, Mistakes
Starrah, Zoo
Lauv, The Other (Stripped)
Zara Larsson, I Can't Fall in Love Without You
Lewis Capaldi, Lost On You
Grace Carter, Silence
Dean Lewis, Need You Now - Acoustic
Declan J Donovan, Better
Jessie Ware, Alone - Acoustic
R I T U A L, Wouldn't Be Love - Acoustic
LÉON, Surround Me
Skinny Living, Fade
Freya Ridings, Lost Without You
James TW, Please Keep Loving Me
Charlie Cunningham, You Sigh
Bastille, World Gone Mad
The Script, Arms Open
R3HAB, Killing Time
Shawn Mendes, Ruin
Parson James, Only You
James Gillespie, Don't Let Me Get Me
Millie Turner, Eyes on You
Tom Speight, Old Flame
Calum Scott, You Are The Reason
Passenger, Simple Song
Maisie Peters, Birthday
Niall Horan, Too Much To Ask
Vera Blue, Settle
