Isaiah, It's Gotta Be You
Bebe Rexha, Meant to Be (feat. Florida Georgia Line)
Noah Kahan, Young Blood
Michael Calfan, Treasured Soul
Ollie Gabriel, Running Man - Radio Edit
Kelvin Jones, Call You Home
Seeb, Breathe
Annika Wells, Break
A R I Z O N A, I Was Wrong - Robin Schulz Remix
Mighty Oaks, Brother
Nicole Cross, Worth the Wait
Robbie Williams, Run It Wild
Adele, Water Under The Bridge
Imagine Dragons, Demons
Nilüfer Yanya, Baby Luv
Alex Da Kid, Not Easy
Noah Kahan, Sink
Zara Larsson, Only You
Both, Straight Outta Line - Radio Edit
Mark Forster, Kogong
Coleman Hell, 2 Heads
E^ST, Life Goes On
JP Cooper, September Song
A Great Big World, Hold Each Other
Antje Schomaker, Ganoven - Akustik Session
Luke Christopher, Lot to Learn
Olivia Holt, History
Shawn Mendes, Stitches
Allman Brown, Sweetest Thing
Astrid S, Hurts So Good
Lord Huron, The Night We Met
Billy Raffoul, Dark Four Door
Dean Lewis, Waves
KREAM, Taped Up Heart (feat. Clara Mae)
Endre Nordvik, Silvia Amberlie
Julia Michaels, Issues
Conrad Sewell, Hold Me Up
Jason Derulo, Trumpets
Milky Chance, Stolen Dance
Calum Scott, Dancing On My Own
LOTTE, Pauken
Lukas Graham, Off To See The World
Little Mix, Touch
Olly Murs, Up
Rag'n'Bone Man, Skin
Travie McCoy, Golden (feat. Sia)
James Bay, Hold Back The River
Milow, Ayo Technology
Leslie Clio, My Heart Ain't That Broken
The Killers, Run For Cover
