Ralph, Cold to the Touch
Flo Morrissey and Matthew E. White, Look At What The Light Did Now
Captain Cuts, Love Like We Used To - Lenno Remix
Stalking Gia, Second Nature
Lizzy Land, Sweet Melodies - Schier Remix
Sam Smith, Baby, You Make Me Crazy
Bibio, Town & Country
Poolside, Harvest Moon
The Undercover Dream Lovers, Come Home
Gateway Drugs, Dare Tonight
Washed Out, Hard To Say Goodbye
Otis Junior, The 1
Scarlet Pleasure, Windy
The Whitest Boy Alive, Golden Cage
Seoul, Stay With Us
Sun Rai, San Francisco Street
Yumi Zouma, Depths (Pt. I)
Erik Hassle, No Words
Shallou, You and Me
Satin Jackets, Northern Lights
Bleu Toucan, Hanoï Café
Parcels, Overnight
Surahn, Find a New Woman
Magic In Threes, Beatin’ tha Breaks - Freddie Joachim Remix
Couzare, Just
Linae, Don't Ever Wonder
Klyne, Your Touch
Rhye, Summer Days
M.I.L.K., Following the Sun
Andreas Moe, Something Right
Gizmo Varillas, Freedom For a Change
Bay Ledges, Safe
Myd, The Sun
John Mayer, Moving On and Getting Over
LEISURE, Got It Bad
Poolside, Feel Alright
Parcels, Hideout - Disco Despair Remix
Khalid, 8TEEN
Rae & Christian, Happy
La Felix, Delicious
Two Another, Aiming Up
VHS Collection, Waiting on the Summer
Low Motion Disco, Things Are Gonna Get Easier
Michl, Broken Roots
JONES, Melt
Parcels, Gamesofluck
Leon Else, Dance - Oliver Remix
DAVID44, Stay
Cocoon, I Can't Wait
Ariel Pink, Another Weekend
Maze, Before I Let Go (feat. Frankie Beverly) [2004 - Remastered]
iamalex, Changed
HAIM, You Never Knew
Julia Michaels, Just Do It
Capital Cities, Swimming Pool Summer
Alex the Astronaut, William and Georgia
Wild Front, Rico
Da Chick, Call Me Foxy
India.Arie, Video
Nilüfer Yanya, The Florist
Mocky, Birds of a Feather
Ardyn, Together
Francis and the Lights, Friends (feat. Bon Iver)
Rooney, Day 2 Day
Sigrid, Don't Kill My Vibe - Guitar Acoustic
Islandis, Home
Pat Lok, Hollywood
Sharon Jones & The Dap-Kings, Tell Me
LÉON, Tired of Talking
Fitz and The Tantrums, Let Me Love You - Recorded at Spotify Studios NYC
Ekkah, Last Chance to Dance
The Undercover Dream Lovers, Good Luck
Khruangbin, People Everywhere (Still Alive)
The Night Game, The Outfield
Unknown Mortal Orchestra, So Good at Being in Trouble
AQUA STONE THRONE, Do You Know Where You Are
Her, Quite Like
Electric Guest, Dear To Me
Toulouse, Reach Out
BJ The Chicago Kid, Turnin' Me Up
Grace, Church On Sunday
Kommode, Fight or Flight or Dance All Night
Father John Misty, Real Love Baby
John Mayer, Love on the Weekend
Silo, Keep On
Raphael Saadiq, Love That Girl
Sharon Jones & The Dap-Kings, Tell Me
L'Impératrice, Sonate pacifique
Tep No, The Best Crew
Papooz, Simply Are
Todd Rundgren, That Could Have Been Me
World Champion, Tip Pit
Jósean Log, Beso
Belleruche, Anything You Want - Not That
Goldroom, Silhouette
Tom Misch, South of the River
Billie Eilish, ocean eyes
Session Victim, Unchained
Jamiroquai, Cloud 9
Satin Jackets, Never Enough - Radio Edit
SiR, New LA (feat. Anderson .Paak & King Mez)
Beastie Boys, Sabrosa
Jonti, Sleeping and Falling
Martin Brygmann, Driving
AM!R, Dirty Whispers
Snakehips, All My Friends - PREP Remix
White Elephant, Tears
Devonte Hynes, Feelin' Lovely
JONES, Melt
Bobby Bazini, C'est La Vie
SACRE, The Call
Julien Doré, Le lac
Ajmw, Canvas
