Future, Mask Off
Kendrick Lamar, HUMBLE.
A$AP Ferg, New Level
Jidenna, Long Live the Chief
Migos, Bad and Boujee (feat. Lil Uzi Vert)
Migos, T-Shirt
J. Cole, Immortal
Big Sean, No Favors
Big Sean, Bounce Back
Drake, No Long Talk
Mike WiLL Made-It, Y'all Ain't Ready (feat. 2 Chainz)
Mike WiLL Made-It, On The Come Up (feat. Big Sean)
Young Thug, pick up the phone
Drake, Free Smoke
Drake, Portland
A$AP Ferg, Work REMIX
Meek Mill, Litty (feat. Tory Lanez)
Yo Gotti, King Sh*t
Drake, Big Rings
Drake, Jumpman
Vince Staples, Lift Me Up
Migos, Pipe It Up
Fat Joe, All The Way Up
ScHoolboy Q, THat Part
YG, Why You Always Hatin?
Gucci Mane, 1st Day Out Tha Feds
Gucci Mane, Back On Road
Gucci Mane, Guwop Home (feat. Young Thug)
Dae Dae, Wat U Mean (Aye, Aye, Aye)
Drake, KMT
Rae Sremmurd, Swang
DJ Khaled, I Got the Keys
Lil Uzi Vert, Go Off (with Lil Uzi Vert, Quavo & Travis Scott)
Kendrick Lamar, DNA.
PnB Rock, Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie)
Migos, Seize The Block
YoungBoy Never Broke Again, Murder (feat. 21 Savage) - Remix
Kendrick Lamar, Backseat Freestyle
The Notorious B.I.G., Hypnotize
Drake, Forever - Album Version (Edited)
Kanye West, Mercy - Edited Version
Eminem, Survival
Lil Wayne, 6 Foot 7 Foot - Edited Version
Lil Wayne, A Milli - Album Version (Edited)
