Alela Diane, Émigré
First Aid Kit, Fireworks
Belle Mt, Loving You
Anderson East, All On My Mind - Acoustic
Josiah and the Bonnevilles, Swing
Bedouine, Louise - Bonus Track
Robert Ellis, Gentle on My Mind
Dana Williams, Fragile Ego
Belle Mt, Hollow (Acoustic)
Isaac Gracie, Terrified
The Cerny Brothers, Sonny
Amy Shark, Adore - Piano Unplugged
Benjamin Francis Leftwich, Because of Toledo
I Am Oak, Field Studies
Jim James, The World Is Falling Down
Matt Pond PA, The Moon Rose
MYFEVER, Childhood Keepsake, Circa 1991 (Acoustic)
Frank Turner, Josephine - Songbook Version
Bella Hardy, Redemption
Novo Amor, Terraform
Aquilo, Thin
S. Carey, Fool's Gold
Marlon Williams, Nobody Gets What They Want Anymore - Edit
Brandi Carlile, The Joke
Patrick Watson, Broken
The Ballroom Thieves, Only Lonely
Wild Child, Expectations
The Wood Brothers, River Takes the Town
Emil Landman, Falling
Joshua Burnside, Blood Drive - Demo
Dean Lewis, Chemicals - Acoustic
Rosemary & Garlic, Take This Hand
Molly Parden, Sail on the Water
Darlingside, Eschaton
Chris Thile, Elephant in the Room
Valerie June, With You - A Sweet Little Love Song Demo
The Deep Dark Woods, Drifting on a Summer's Night
Ciaran Lavery, When I Come Around
Van William, The Country
Mavis Staples, Ain't No Doubt About It
Fink, This Isn’t A Mistake - A&B Acoustic Version
The National, Carin At the Liquor Store - Recorded at Spotify Studios NYC
Bishop Briggs, Dream - Acoustic
Dan Owen, Hideaway - Acoustic
Handsome Ghost, Fool
The Weeks, Grind Yr Teeth
Chris Stapleton, Tryin' To Untangle My Mind
Dan Auerbach, We Gotta Get Out of This Place
Ben Miller Band, Akira Kurosawa
Rachel Brown, Rollin'
Steep Canyon Rangers, Going Midwest
I'm With Her, See You Around
Novo Amor, Ontario
Jacob Thomas Jr., Running Through My Mind
Langhorne Slim, Never Break
Peter Oren, Falling Water
Kail Baxley, Boy Got It Bad (Live with the Charleston City Choir)
Angel Olsen, Endless Road
BOY, Into The Wild
Folk Road Show, Tourist Eyes
Widowspeak, Harvest Moon
Honey Harper, Secret
The Contenders, Save a Place at the Table
Whitney, No Woman - Demo
Mavis Staples, Build A Bridge
Nathaniel Rateliff & The Night Sweats, S.O.B. - Live
Black Rebel Motorcycle Club, Question of Faith
Twain, Little Dog Mind
Morningsiders, Somewhere In Between
Belle Adair, Get Away
Kyle Craft, Heartbreak Junky
Mt. Joy, Silver Lining
Vance Joy, Like Gold
Matthew And The Atlas, Palace
Mikaela Davis, Little Bird
Liz Brasher, Painted Image
Anderson East, King For A Day
Blitzen Trapper, Rebel
Leah Blevins, God, Help Me
ZZ Ward, Cannonball - Acoustic
Luke Sital-Singh, Still - Audiotree Live Version
MILCK, Ooh Child
Shook Twins, Toll Free
Henry Jamison, Black Mountain
Diamond Thug, Sweet Return
First Aid Kit, Postcard
Tuvaband, Mess
Ana Egge, We Are One
Pinegrove, Intrepid
Oliver Hazard, Caesar Knows
Miya Folick, Woodstock
Typhoon, Rorschach
Harry Pane, Here We Stay
Glen Hansard, Wheels on Fire
WILDWOOD, Ring of Fire
Million Miles, Can't Get Around a Broken Heart
Sam Airey, The Flood
Fabrizio Cammarata, In The Cold
The Harmaleighs, Every Single Night
Bahamas, No Wrong
Peter Oren, New Gardens
The Savage Radley, Milk and Honey
Black Rebel Motorcycle Club, Haunt
Alana Henderson, Let This Remain
Deva Mahal, Snakes
Kevin Morby, Baltimore (Sky At Night)
Julien Baker, Even
Axel Flovent, City Dream
Benjamin Francis Leftwich, When You Were Young
Jonah Tolchin, Charlottesville
Overcoats, Kai's Song - Acoustic
Shook Twins, Shake
Michigan Rattlers, Time to Move On
Timberwolf, Silent Game
Lucy Rose, End Up Here
Animal Years, Friends
The Ghost of Paul Revere, Welcome Home
Cattle & Cane, Saviour
Meadowlark, May I Have This Dance
Platon Karataev, Elevator
