Wild Cherry, Play That Funky Music
Stevie Wonder, I Wish - Single Edit
Michael Jackson, Don't Stop 'Til You Get Enough - Single Version
The Heavy, Coleen feat. The Dap-Kings Horns
Sound Experience, J.P. Walk
Change, Hold Tight
Guts, Man Funk (feat. Leron Thomas)
James Brown, Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2
Blacknuss, Bull's Eye
Brick, Dazz - Single Version
Har Mar Superstar, Prisoner
Ohio Players, Who'd She Coo?
T-Connection, Girl Watching
Herbie Hancock, Doin' It
Harvey Mason, Till You Take My Love
Stargard, Theme From "Which Way Is Up" - Single Version
Zapp, Dance Floor
Graham Central Station, Hair
Tom Browne, Funkin' for Jamaica
Aurra, A Little Love - Radio Edit
Gladys Knight & The Pips, Who Is She (And What Is She To You)
The Meters, Cissy Strut
Slave, Watching You - 2006 Remastered Version Single Version
Delegation, Put a Little Love On Me
Parliament, Give Up The Funk (Tear The Roof Off The Sucker)
The J.B.'s, Pass The Peas
Grace Jones, Pull Up To The Bumper
Rick James, Mary Jane
Marvin Gaye, Got To Give It Up - Album Edit
Grace Jones, My Jamaican Guy
Commodores, Too Hot Ta Trot
Rufus Featuring Chaka Khan, Do You Love What You Feel
Maceo And The Macks, Soul Power 74
Tower Of Power, Soul With A Capital 'S'
Cameo, I'll Be With You
T-Connection, Groove to Get Down
James Brown, It's Too Funky In Here
Curtis Mayfield, Freddie's Dead
Aretha Franklin, Rock Steady
The Meters, Just Kissed My Baby
Mel Brown, Chicken Fat
Earth, Wind & Fire, In the Stone
Dr. John, (Everybody Wanna Get Rich) Rite Away - 2006 Remastered Version
Eddie Kendricks, Keep On Truckin'
Stevie Wonder, You Haven't Done Nothin'
Cameo, Shake Your Pants
Betty Wright, Clean Up Woman
Sly & The Family Stone, Thank You (Falettinme Be Mice Elf Agin) - single master
St. Paul & The Broken Bones, Flow with It (You Got Me Feeling Like)
James Brown, Funky President (People It's Bad)
Pleasure, Yearnin' Burnin'
Big Boss Man, Sea Groove
Stanley Clarke, We Supply
Average White Band, Pick Up The Pieces
Sharon Jones & The Dap-Kings, How Long Do I Have To Wait For You?
