The Strokes, Reptilia
Franz Ferdinand, Take Me Out
Bloc Party, Banquet
Black Rebel Motorcycle Club, Spread Your Love
Yeah Yeah Yeahs, Heads Will Roll
Kaiser Chiefs, I Predict A Riot
The White Stripes, Fell In Love With A Girl
The Killers, Mr. Brightside
The Bravery, An Honest Mistake - CD Album Version
The Fratellis, Chelsea Dagger
Radio 4, Enemies Like This
Parquet Courts, Black And White
The Von Bondies, C'mon C'mon
Total Control, Flesh War
Arctic Monkeys, R U Mine?
Editors, An End Has A Start
We Are Scientists, Nobody Move, Nobody Get Hurt
Interpol, All The Rage Back Home
The Vines, Get Free
Death From Above 1979, Trainwreck 1979
The (International) Noise Conspiracy, Smash It Up!
Hot Hot Heat, Bandages
The Rapture, Echoes
Foals, My Number
Metric, Synthetica
California Wives, Blood Red Youth
The Hellacopters, Toys And Flavors
Six Finger Satellite, Parlour Games
The Detroit Cobras, Cha Cha Twist
Maximo Park, Our Velocity
The Sounds, Living in America
The Libertines, Time For Heroes
Japandroids, The House That Heaven Built
Elastica, Stutter
The Rakes, 1989
The Catheters, Nothing
The Hives, Hate To Say I Told You So
Sleater-Kinney, No Cities To Love
Supergrass, Pumping On Your Stereo
The Long Blondes, Once And Never Again
Electric Six, Gay Bar
