ayokay, The Shine
JOHN.k, Wrong
Felix Snow, Evening Buffalo
John Splithoff, Show Me (feat. Madison Ryann Ward)
Marshmello, Silence
Elohim, Sleepy Eyes
Jack Vallier, Good For You
Lulleaux, Contact
Griffin Stoller, Vibes
Hounded, On My Side
ODESZA, Sun Models (feat. Madelyn Grant)
Whethan, Good Nights (feat. Mascolo)
Freedom Fry, Brave (Remix)
Empire of the Sun, On Our Way Home
R3HAB, I Just Can't
Kota Banks, Empty Streets
Birdy, Wild Horses - Sam Feldt Remix
Tim Legend, Quicksand
Stupead, Alright
Two Friends, Out of Love
Loote, High Without Your Love
Lostboycrow, Stay a Little Longer
LANY, Super Far
Lucy Neville, Fall At Your Feet
HAIM, Little of Your Love - BloodPop® Remix
Justin Caruso, Caving (feat. James Droll)
Hook N Sling, If You're Hearing This
JOHN.k, OT
Clement Bazin, Distant
Little Monarch, No Matter What
Smallpools, Passenger Side
Chelsea Cutler, You Make Me
Bearson, One Step At A Time
Local Natives, Dark Days - Sofi Tukker Remix
Louis Mattrs, Don’t Lose Your Cool
The Knocks, TROUBLE (feat. Absofacto)
LINES, You
HEDEGAARD, That´s Me
Lauv, I Like Me Better
Electric Guest, Oh Devil - Radio Version
culpriit, Driveway
RAC, Unusual
Astrid S, Such A Boy
Shoffy, Flags
Party Favor, Caskets
Ella Vos, You Don't Know About Me (R3hab Remix)
Kygo, Stargazing
Akacia, Show Me
Skrillex, Would You Ever
Møme, Mirage
R3HAB, You Could Be
DJDS, Why Don't You Come On
Kush Kush, Fight Back with Love Tonight
MOONZz, Navigator
Anjulie, Where The Love Goes
OLYK, Take Me (feat. Mariana Thielen)
Coast Modern, Dive
MØ, When I Was Young
Maroon 5, What Lovers Do (feat. SZA)
XY&O, Low Tide
John Splithoff, Sing to You
King Henry, I'll Be There
Robotaki, I Want You (feat. Matthew John Kurz)
Gryffin, Nobody Compares To You
DROELOE, Sunburn
ODESZA, Falls (feat. Sasha Sloan)
Marnik, Burn
Shallou, You and Me
ODESZA, Higher Ground (feat. Naomi Wild)
Kygo, Kids in Love
DVBBS, Not Going Home
Great Good Fine Ok, Find Yourself
Nicole Millar, Blindfolded
Alexander Lewis, Off Guard
Foster The People, Sit Next to Me
