Electric Light Orchestra, Mr. Blue Sky
Sweet, Fox On The Run
Aliotta Haynes Jeremiah, Lake Shore Drive
Fleetwood Mac, The Chain - 2004 Remastered Edition
Sam Cooke, Bring It On Home to Me
Glen Campbell, Southern Nights
George Harrison, My Sweet Lord
Looking Glass, Brandy (You're A Fine Girl)
Jay & The Americans, Come A Little Bit Closer
Silver, Wham Bam Shang-A-Lang
Cheap Trick, Surrender
Yusuf / Cat Stevens, Father And Son
Parliament, Flash Light
The Sneepers, Guardians Inferno - From "Guardians of the Galaxy Vol. 2"
Blue Swede, Hooked on a Feeling
Raspberries, Go All The Way
Norman Greenbaum, Spirit in the Sky
David Bowie, Moonage Daydream - 2012 Remastered Version
Elvin Bishop, Fooled Around And Fell In Love
10cc, I'm Not In Love
The Jackson 5, I Want You Back
Redbone, Come And Get Your Love
The Runaways, Cherry Bomb
Rupert Holmes, Escape (The Pina Colada Song)
The Five Stairsteps, O-o-h Child - Remastered
Marvin Gaye, Ain't No Mountain High Enough - Mono Version
Tyler Bates, Showtime, A-holes
Tyler Bates, The Mantis Touch
Tyler Bates, Starhawk
Tyler Bates, Ego
Tyler Bates, Dad
Tyler Bates, Guardians of the Frickin' Galaxy
Tyler Bates, Morag
Tyler Bates, The Final Battle Begins
Tyler Bates, To The Stars
Tyler Bates, Black Tears
Tyler Bates, Groot Spores
Tyler Bates, Plasma Ball
Tyler Bates, Quill's Big Retreat
Tyler Bates, Ronan's Theme
Tyler Bates, What A Bunch Of A-Holes
Tyler Bates, A Nova Upgrade
