Lenny Kravitz, Again
Coldplay, Speed Of Sound
Jay Sean, Down
Robbie Williams, Feel
Nelly, Dilemma
Kelly Clarkson, Breakaway
John Mayer, Your Body Is a Wonderland
Nickelback, Far Away
Rihanna, SOS
Mario, Let Me Love You
50 Cent, In Da Club
Justin Timberlake, Rock Your Body
Nickelback, How You Remind Me - LP Mix
Bubba Sparxxx, Deliverance
Rihanna, Pon de Replay
50 Cent, Just A Lil Bit
50 Cent, Candy Shop
The Game, How We Do
Ciara, Oh
The Black Eyed Peas, My Humps
Miley Cyrus, Party In The U.S.A.
Justice, DVNO
Maroon 5, Makes Me Wonder
Timbaland, Give It To Me
Justin Timberlake, What Goes Around.../...Comes Around (Interlude)
The Fray, How To Save A Life - New Album Version
Kanye West, Stronger
Linkin Park, What I've Done
Nickelback, If Everyone Cared
Timbaland, Apologize
50 Cent, Ayo Technology
Rihanna, Shut Up And Drive
Kanye West, Heartless
The Fray, You Found Me
T.I., Live Your Life - feat. Rihanna
D-Money, Kiss Me Thru The Phone
Kevin Rudolf, Let It Rock
Cobra Starship, Good Girls Go Bad (feat. Leighton Meester)
Dr. Dre, Still D.R.E. - Album Version (Edited)
Eric Prydz, Call On Me - Radio Edit
Ronan Keating, Life Is A Rollercoaster
Ronan Keating, Lovin' Each Day
3 Doors Down, Here Without You
Xzibit, X
Nelly Furtado, Forca
Dizzee Rascal, Dance Wiv Me
Red Hot Chili Peppers, By The Way
Coldplay, Viva La Vida
Vanessa Carlton, A Thousand Miles - Single Version
Maroon 5, She Will Be Loved
2Pac, Ghetto Gospel
Chad Kroeger, Hero (feat. Josey Scott)
blink-182, All The Small Things
Sam Sparro, Black & Gold - Marcussen Album Version
Jamiroquai, Seven Days in Sunny June
Take That, Rule The World - Radio Edit
Tomcraft, Loneliness - Radio Cut
Timbaland, The Way I Are
Pitbull, Hotel Room Service
DMX, Party Up (Up In Here)
Daniel Powter, Bad Day
Gnarls Barkley, Crazy
Rihanna, Unfaithful
Flo Rida, Right Round - US
Chris Brown, Forever
Beyoncé, Irreplaceable
Leona Lewis, Bleeding Love
MGMT, Kids
Gorillaz, Feel Good Inc
Kings of Leon, Sex on Fire
JAY Z, Numb / Encore
M.I.A., Paper Planes
Coldplay, Yellow
Lordi, Hard Rock Hallelujah
