Marika Hackman, Deep Green
The National, The System Only Dreams in Total Darkness
Marlon Williams, Vampire Again
Hozier, It Will Come Back
King Charles, Loose Change for the Boatman
Laura Marling, Devil's Resting Place
The Deep Dark Woods, The Place I Left Behind
Rafferty, Mausoleum
Lera Lynn, The Only Thing Worth Fighting For - From The HBO Series True Detective
Wyvern Lingo, Used
Emma Ruth Rundle, Marked for Death
Hozier, Arsonist's Lullabye
The Deep Dark Woods, Fallen Leaves
Ciaran Lavery, Lovers Who Make Love - Live at the Mac
Puzzle Muteson, By Night
Annie Eve, Bedtime
Venus and the Moon, Die Slow
Little Green Cars, My Love Took Me Down To The River To Silence Me
Delta Rae, Bottom Of The River
The Brad Pitt Light Orchestra, The Devil & Me
Jeff Buckley, Nightmares By The Sea
TORRES, Helen in the Woods
Radiohead, A Wolf At The Door
Lorde, Yellow Flicker Beat
Arum Rae, I'm Smoke
Sufjan Stevens, They Are Night Zombies!! They Are Neighbors!! They Have Come Back From the Dead!! Ahhhh!
We Cut Corners, A Pirate’s Life
Hannah Cameron, No Pen of Mine
Charm of Finches, Fossil in Stone
Victoria Lord, Haunted Man
Agnes Obel, Stone
Amarillo, Eyes Still Fixed
Siv Jakobsen, Like I Used To
Phoebe Bridgers, Killer
Langhorne Slim, Zombie
Isaac Gracie, All The Burning Lovers - Demo
Shannon Lay, Coast
Emily Jane White, Nightmares on Repeat
Jesca Hoop, The Lost Sky
Monica Heldal, Swan
Wilsen, Emperor
Micah P. Hinson, The Years Tire On
Lo-Fang, Boris
Marissa Nadler, Dead City Emily - Demo
Luke Sital-Singh, Dark
Father John Misty, O I Long to Feel Your Arms Around Me
Lotte Kestner, Bell Under Water
S. Carey, Fire-Scene
Lost In The Trees, Rites
The Savage Radley, Werewolf
Sam Airey, Stars
Matt Holubowski, The Year I Was Undone
flora cash, Down On Your Knees
Silences, There's a Wolf
Reuben Hollebon, Faces
Sarah Jarosz, House Of Mercy
Isobel Anderson, The Third Death
Mara Simpson, Ghosts
Avi Vinocur, For Whom the Bell Tolls
Odetta Hartman, Creektime
James Bay, Scars
The Last Bison, Sleep
Odina, Father
Hestina, Deadso
Flip Grater, Hymns
Luray, Promise of Lakes
The Hat, The Angry River (feat. Father John Misty and S.I. Istwa) [Theme From the HBO® Series True Detective]
Saint Sister, Blood Moon
Ben Howard, I Forget Where We Were
Adna, Living
Paper Aeroplanes, Goldrush
Hjaltalín, Days of Gray Pt. 5 / At The Amalfi
Foreign Fields, Ryley Crowe
Radical Face, Nightclothes
Damien Rice, My Favourite Faded Fantasy
RY X, Berlin
Odetta Hartman, Batonebo
Little May, Bones
Maggie Bjorklund, Dark Side of the Heart
Nick Mulvey, House Of Saint Give Me
Novo Amor, Cold
The Pines, Sleepy Hollow
Dustin Tebbutt, Bones
Sufjan Stevens, Seven Swans
Tiny Vipers, Tiger Mountain
Simon Herron, All That You Know - Original Mix
Hozier, Angel of Small Death and the Codeine Scene
Laura Marling, Devil's Spoke
Volcano Choir, Byegone
Vancouver Sleep Clinic, Stakes
Wickerbird, The Fold
Ben Howard, Black Flies
RY X, Sweat
Josh Record, Bones
The Antlers, Palace
Hayden Calnin, Coward
Strand of Oaks, Sleeping Pills
The Black Atlantic, Baiulus
Jordan O'Shea, Farewell December
Sin Fang, Two Boys
Foy Vance, Joy Of Nothing - The Single
Smoke Fairies, Snowglobe Blizzard
