Eminem, Untouchable
Post Malone, rockstar
Offset, Ric Flair Drip
GASHI, Disrespectful
Travis Scott, Butterfly Effect
Big Shaq, Man's Not Hot
Lil Uzi Vert, XO TOUR Llif3
21 Savage, Ghostface Killers
Quality Control, My Dawg
blackbear, do re mi (feat. Gucci Mane)
Famous Dex, Pick It Up (feat. A$AP Rocky)
6LACK, Ex Calling
Lil Xan, Betrayed
Post Malone, Candy Paint
A$AP Ferg, Plain Jane
G-Eazy, The Beautiful & Damned
21 Savage, Bank Account
Chris Brown, Pills & Automobiles
Rich The Kid, New Freezer (feat. Kendrick Lamar)
Future, Patek Water
G-Eazy, No Limit
Machine Gun Kelly, Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)
Future, Mask Off - Remix
Lil Pump, Gucci Gang
Migos, Slippery (feat. Gucci Mane)
Tory Lanez, Shooters
Migos, MotorSport
PnB Rock, Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie)
Mura Masa, Love$ick (feat. A$AP Rocky)
Young Thug, Relationship (feat. Future)
Gucci Mane, I Get The Bag (feat. Migos)
Gucci Mane, Tone it Down (feat. Chris Brown)
Gucci Mane, Curve (feat. The Weeknd)
Miguel, Sky Walker
NAV, Wanted You (feat. Lil Uzi Vert)
G-Eazy, The Plan
Post Malone, I Fall Apart
Manu Crook$, Day Ones
Wiz Khalifa, Letterman
Ty Dolla $ign, Don't Sleep On Me (feat. Future and 24hrs)
Massari, Number One
Ty Dolla $ign, Darkside (with Ty Dolla $ign & Future feat. Kiiara)
Big Sean, Pull Up N Wreck (With Metro Boomin)
A Boogie Wit da Hoodie, Undefeated (feat. 21 Savage)
Kelvyn Colt, I Got This
GASHI, No No No
Kendrick Lamar, LOVE. FEAT. ZACARI.
PnB Rock, Lovin' (feat. A Boogie Wit da Hoodie)
YBN Nahmir, Rubbin Off The Paint
Tay-K, The Race
