Kiran Murti, Peace
Pathiena, The Deepest Of Sorrow
Chatterjee, Flora & Fauna
Niraj Chag, An Offering
Nitin Sawhney, The Namesake Opening Titles
Vintage Key, Goa Groove
Yakamora, Pipers
Kaya Project, The Flow - Ambient Mix
Talvin Singh, Traveller - Leafcutter John Remix
Cheb i Sabbah, Qalanderi
Ledd Blue, Sapphire Dreams
Midival Punditz, Night
Kaatru, Nani
Dangle, Mereya
Govinda, Calm
Debashish Bhattacharya, Papa Tau (A Tribute to Papa Tau Moe)
Bombay Dub Orchestra, Songs From the Seven Towers
Chinmaya Dunster, Meeting of Two Oceans
Midival Punditz, Saathi
Manish Vyas, Sahana Vavatu (For Inner Nourishment)
Cheb i Sabbah, Morey Pya Bassey
Nitin Sawhney, Ashima Becomes a Widow
Ben Leinbach, Mother's Wingspan
Tabla Beat Science, Magnetic
Amjad Ali Khan, Bhairavi
Shruti Sadolikar, Alhaiya Bilaval
Dolkar Gurung, Chennai Anthem
Niraj Chag, The Nomad
Chinmaya Dunster, Shiva's Meditation
The Sinis Spirit, Hope
Ali Akbar Khan, Guru Bandana (Prayer)
Binary One, Insitarament
Bombay Dub Orchestra, The Berber Of Seville: The Berber Of Suburbia Mix
A.R. Rahman, Exodus
Sarathy Korwar, Dreaming
Thievery Corporation, Doors of Perception featuring Gunjan
Debashish Bhattacharya, Sufi Bhakti
Anoushka Shankar, Easy
Cheb i Sabbah, Raja Vedalu
Devansh Tushar, Dawn Dusk Divinity
Hariprasad Chaurasia, Bageshri
Anoushka Shankar, Naked
Thievery Corporation, Satyam Shivam Sundaram
Qalander, Koodu Beat
Shaman's Dream, Invocation to Water
Rakesh Chaurasia, Raga Hemavati (Flute)
Nitin Sawhney, Tere Khyal
Buddhadev DasGupta, Ahir Bhairav
Hariprasad Chaurasia, Bhupali
Vugh Gardens, Mystiqal
