Maddy Jane, Thank You And Sorry
Flight Facilities, Stranded
Angus & Julia Stone, Chateau
Jack Grace, us
Vallis Alps, So Settled
Mansionair, Astronaut (Something About Your Love)
The Jungle Giants, Used to Be in Love
Kira Puru, Tension
Lorde, Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX
Hayden James, NUMB
Vera Blue, Give In
Tash Sultana, Mystik
What So Not, Be Ok Again (feat. Daniel Johns)
Hatchie, Sure
Basenji, Mistakes
Samsaruh, Beautiful Killer
Feki, Love You Better
MUTO, Say Nothing
Tame Impala, List Of People (To Try And Forget About)
HANDSOME, Late Night Ball Game
Mallrat, Better
The Rubens, Million Man
Miya Folick, Trouble Adjusting
Eves Karydas, There For You
Wafia, Bodies
The Wombats, Lemon To A Knife Fight
Pnau, Go Bang
JOY., Smoke Too Much
Jack River, Fault Line
Matthew Young, Hey
Motez, The Future (feat. Antony & Cleopatra)
No Mono, Violence Broken
Miguel, Sky Walker
Jack Gray, Red Rental Car
Cub Sport, Chasin'
ALTA, Sentiment
Portugal. The Man, Feel It Still
Peking Duk, Let You Down
City Calm Down, In This Modern Land
Kuren, Bright Dawn (feat. Illy)
Alison Wonderland, Happy Place
Ball Park Music, Exactly How You Are
Kita Alexander, Hotel
LANKS, My Own Mystery (feat. Ngaiire)
Tia Gostelow, Hunger
Cousin Tony's Brand New Firebird, Morning Person
Aeora, Need You
Petit Biscuit, Problems
Kllo, Predicament
E^ST, Life Goes On
Billie Eilish, watch
Winston Surfshirt, Same Same
The Kite String Tangle, This Thing We Got
Slum Sociable, A Hearing
Cloud Control, Panopticon
Set Mo, I Belong Here
Eleanor Jacks, Run n Hide
Dean Lewis, Lose My Mind
SUPER CRUEL, Sicklaced (feat. CXLOE)
Yumi Zouma, Half Hour
