Portugal. The Man, Feel It Still
Cold War Kids, Miracle Mile
courtship., Tell Me Tell Me
WALK THE MOON, One Foot
Passion Pit, Take a Walk
Beck, Up All Night
The Wombats, Greek Tragedy
Vistas, Retrospect
The XCERTS, Daydream
Fall Out Boy, HOLD ME TIGHT OR DON’T
The Wrecks, Favorite Liar
Two Door Cinema Club, What You Know
COIN, Talk Too Much
The Heydaze, New Religion
Smallpools, Passenger Side
Castlecomer, Fire Alarm
Theory of a Deadman, Echoes
MAGIC GIANT, Window
Judas, Ceasefire
American Authors, I Wanna Go Out
Day Wave, Something Here
St. Lucia, Elevate
Cold War Kids, Love Is Mystical
Bleachers, Don't Take The Money
Vistas, Hold Me
States & Capitals, Drive
WALK THE MOON, Headphones
Flor, heart
courtship., Perfect People
Knox Hamilton, Pretty Way to Fight
Neck Deep, In Bloom
Neon Trees, Feel Good
BANNERS, Someone To You
Paramore, Fake Happy - Edit
Phoenix, J-Boy
All Time Low, Good Times
Saint Motel, My Type
Smallpools, Million Bucks
Luna Bay, Hometown
Saint Mesa, Maderas
Broadside, Paradise
COIN, I Don't Wanna Dance
Mondo Cozmo, Thunder
lovelytheband, broken
Honors, All My Life
Imagine Dragons, I’ll Make It Up To You
Wild Cub, Thunder Clatter
The 1975, Heart Out
ROMES, Summer Sound
The Aces, Stuck
Flor, hold on
courtship., Sunroof
The Chain Gang Of 1974, Wallflowers
Passion Pit, Little Secrets
This Wild Life, Falling Down - Edit
Sir Sly, High
DREAMERS, Painkiller
Bleachers, I Wanna Get Better
Knox Hamilton, Pretty Way to Fight
The Hunna, You & Me
Paramore, Told You So
Sundara Karma, Flame
The Royal Concept, Gimme Twice
POP ETC, Routine
The Academic, Mixtape 2003
MAGIC GIANT, Jade
Bay Ledges, Safe
Night Riots, Fangs
Council, The World Is on Fire
Weathers, Happy Pills
Rafferty, Apple Pie
Saint Motel, Move
Mainland, Permission Slip
Miike Snow, The Heart Of Me
Animal Kingdom, Strange Attractor
BØRNS, Electric Love
The Night Game, The Outfield
Arkells, My Heart's Always Yours
Young the Giant, In My Home
Moon Taxi, Red Hot Lights
Max Frost, Adderall
Evaride, Heartless
Grouplove, Tongue Tied
Sundara Karma, She Said
Atlas Genius, Stockholm
Knox Hamilton, Washed Up Together
The Knife, Heartbeats
The 1975, Chocolate
Neon Trees, Sleeping With A Friend
Twenty One Pilots, Tear In My Heart
Council, Rust to Gold
Coleman Hell, 2 Heads
Smallpools, Killer Whales
The Naked And Famous, Young Blood
Night Riots, Oh My Heart
DREAMERS, Sweet Disaster
Parade of Lights, Golden
Empire of the Sun, High And Low
The Wild Feathers, Overnight
JR JR, Gone
888, Critical Mistakes
Glass Animals, Life Itself
The Griswolds, Out Of My Head
Fitz and The Tantrums, Roll Up
Cape Cub, All I Need
The Wombats, Be Your Shadow
Foreign Air, Echo
The Shelters, Rebel Heart
Nightly, Xo
The Heydaze, Hurt Like Hell
Taking Back Sunday, You Can't Look Back
Yellowcard, The Hurt Is Gone
The 1975, Sex
St. Lucia, Dancing On Glass
Lewis Del Mar, Painting (Masterpiece)
HUNNY, Vowels (And the Importance of Being Me)
Mainland, Outcast
Atomic Tom, Someone to Love
Sundara Karma, Loveblood - EP Version
Bad Suns, Cardiac Arrest
M83, Midnight City
Hunter Hunted, Keep Together
Royal Teeth, Wild
Thumpers, Unkinder (A Tougher Love)
Waters, Got To My Head
DREAMERS, Cry Out for Me
New Politics, Tonight You're Perfect
The Wombats, Your Body Is A Weapon
The Chain Gang Of 1974, Sleepwalking
We Were Promised Jetpacks, Quiet Little Voices
St. Lucia, We Got It Wrong
Joywave, Tongues
Hellogoodbye, (Everything Is) Debatable
Sleeper Agent, Waves
The 1975, The City
Lovelife, Tonight (We're Taking Our Own Lives)
Cherub, Doses & Mimosas
Young Rising Sons, High
Panama Wedding, All Of The People
Milky Chance, Stolen Dance
Vance Joy, Mess Is Mine
Colony House, Silhouettes
Fenech-Soler, Last Forever
Magic Man, Out of Mind
