The O'Jays, Love Train
Elvis Presley, Blue Hawaii
CAN, Vitamin C - 2004 Remastered Version
Joan Baez, Eleanor Rigby
George Harrison, What Is Life - 2001 Remastered Version
Marlon Brando, Guys and Dolls
Dio, Stand Up and Shout
Led Zeppelin, Good Times Bad Times
REO Speedwagon, Roll with the Changes
Tom Petty and the Heartbreakers, Breakdown
Dire Straits, Sultans of Swing
Dire Straits, Down To The Waterline
Poco, Crazy Love - Single Version
Mike Oldfield, Tattoo
Bryan Adams, Summer Of '69
Styx, Too Much Time On My Hands
Morrissey, Jack The Ripper
The Doobie Brothers, Long Train Runnin'
M. Fukuda, Ogre Street
Louis Armstrong, What A Wonderful World
Wang Chung, Dance Hall Days
Led Zeppelin, D'yer Mak'er - 2007 Remastered Version
Bruford, Beelzebub
Emerson, Lake & Palmer, A Time And A Place
Lisa Lisa & Cult Jam, Can You Feel the Beat
Lisa Lisa & Cult Jam, Head to Toe
Suzi Quatro, If You Can't Give Me Love
Creedence Clearwater Revival, Susie Q
Sinfonia Of London, Julius Caesar Overture
Led Zeppelin, Ramble On
REO Speedwagon, Keep Pushin'
Dire Straits, Walk Of Life
Smokey Robinson & The Miracles, The Tracks Of My Tears
Kenny Loggins, Danger Zone
Loggins & Messina, Your Mama Don't Dance
Yes, Owner Of A Lonely Heart
Yes, Roundabout - Remastered Version
Chris Arduser, erich von stroheim
Donovan, Hurdy Gurdy Man
Jeff Beck, Blue Wind
Santana, Black Magic Woman
Wham!, Wake Me Up Before You Go-Go
Air Supply, All Out of Love
Foreigner, Hot Blooded - 2008 Remastered Version
The Cars, Just What I Needed
The Cars, Good Times Roll
Steely Dan, Aja
Mike Oldfield, Part Four - North Star / Platinum Finale
Paula Abdul, Straight Up
Herman's Hermits, ( What A) Wonderful World
The Runaways, Cherry Bomb
Thin Lizzy, Emerald
Grand Funk Railroad, The Loco-Motion - 2002 - Remastered
Sadao Watanabe, My Foolish Heart
Michel Polnareff, La poupée qui fait non
Michel Polnareff, Tout, Tout Pour Ma Chérie - Ze Tour 2007
Iggy Pop, Lust For Life
Franck Pourcel, Chariot
Elvin Bishop, Fooled Around And Fell In Love
Glenn Frey, The Heat Is On - From "Beverly Hills Cop" Soundtrack
Tower Of Power, What Is Hip?
Captain & Tennille, Love Will Keep Us Together
Beck, Blue Moon
Wu-Tang Clan, Triumph
Wu-Tang Clan, Severe Punishment
