Klingande, Pumped Up
State of Sound, High on You
Basic Tape, No Matter (Basic Tape vs. Frances)
Vigiland, Another Shot
EC Twins, Revolution
Hailee Steinfeld, Let Me Go (with Alesso, Florida Georgia Line & watt)
Olly Murs, Wrapped Up
Sheppard, Coming Home
Galantis, Love On Me
Samir & Viktor, Rakt in i kaklet
The Beach, Bite My Tongue
Luis Fonsi, Échame La Culpa
Rhys, Last Dance
WALK THE MOON, One Foot
Ed Sheeran, Castle on the Hill
ItaloBrothers, Summer Air
Council, Rust to Gold
Alan Walker, Tired
Axwell /\ Ingrosso, More Than You Know
RHODES, Your Soul (Holding On)
SJUR, Let Me Love You
Avicii, Without You (feat. Sandro Cavazza)
Sam Feldt, Runaways
MKTO, Classic
Urban Cone, Old School
Passenger, Anywhere
Captain Cuts, Love Like We Used To
Damien Leith, Got My Mind Set On You
Sigala, Only One - Radio Edit
Clean Bandit, Symphony
The Weeknd, I Feel It Coming
Axwell /\ Ingrosso, I Love You
Mount Cashmore, Love You More
Alessia Cara, Scars To Your Beautiful
Jonas Blue, Perfect Strangers
Meghan Trainor, Goosebumps
Kygo, Never Let You Go
Bebe Rexha, I Got You
Andreas Weise, Hold Me Close
Gavin James, Hearts On Fire
Birgir, Can You Feel It
Darin, Tvillingen
James Arthur, Say You Won't Let Go - Luca Schreiner Remix
Ofenbach, Katchi (Ofenbach vs. Nick Waterhouse)
Sam Smith, One Last Song
Portugal. The Man, Feel It Still
Maroon 5, What Lovers Do (feat. SZA)
Rhys, Too Good To Be True
Bakermat, Living
Panetoz, Öppna Din Dörr (Säg Att Du Vill Ha Mig Här)
OneRepublic, Rich Love (with Seeb)
