88GLAM, Bali (feat. Nav)
Post Malone, rockstar
Lil Pump, Gucci Gang
Kodak Black, Codeine Dreaming (feat. Lil Wayne)
Offset, Ric Flair Drip
Seedy, Alice
Guleed, Vapormax
Future, Feed Me Dope
A$AP Ferg, Plain Jane
6ix9ine, GUMMO
Migos, MotorSport
21 Savage, Rap Saved Me
Gucci Mane, I Get The Bag (feat. Migos)
Travis Scott, Butterfly Effect
Migos, Slippery (feat. Gucci Mane)
Rich The Kid, New Freezer (feat. Kendrick Lamar)
Gee Dixon, La Madrina
T-Pain, Straight
Lil Uzi Vert, XO TOUR Llif3
Pi'Erre Bourne, Yo Pi'erre (feat. Playboi Carti)
Famous Dex, Pick It Up (feat. A$AP Rocky)
Zo, Super Saiyan
YBN Nahmir, Rubbin Off The Paint
Xavier Wulf, Check It Out
Lil Xan, Betrayed
Dani M, Skuggor
WizKid, Everytime
Stefflon Don, Ding-A-Ling
Big Shaq, Man's Not Hot
Z.E, Nånting av nada
Ricky Rich, Habibi
21 Savage, Bank Account
Rick Ross, TipToe'n
Lamix, Hey Baby - Remix
G-Eazy, No Limit
Future, Patek Water
Aden, Kasse
Belly, Man Listen
The Diplomats, Once Upon a Time
Bruno Mali, Monkey Suit (feat. Rick Ross)
Trav, Rolled Up (feat. Belly & Tory Lanez)
Kodak Black, Roll In Peace (feat. XXXTENTACION)
Kodak Black, Transportin'
Dani M, Trender
Tory Lanez, Real Thing (feat. Future)
Logic, 1-800-273-8255
A Boogie Wit da Hoodie, Unhappy
Cherrie, 163 För Evigt
Giggs, Linguo
Tory Lanez, Shooters
NAV, Wanted You (feat. Lil Uzi Vert)
Young Thug, Liger
LouGotCash, Make 10
XXXTENTACION, Fuck Love (feat. Trippie Redd)
French Montana, A Lie
Wiz Khalifa, Letterman
Meron, Nina
Denz, Ögon
Chris Brown, High End
Big Sean, Pull Up N Wreck (With Metro Boomin)
Lamix, Lamborghini
Gucci Mane, Back On
Preme, Can't Hang
Young Thug, Cruise Ship
Adrijana, Brr Brr
Future, No Cap
Yo Gotti, Juice
Dreezy, Spar (feat. 6LACK & Kodak Black)
Baka Not Nice, Live Up To My Name
Cardi B, Bodak Yellow (feat. Kodak Black)
