Ed Sheeran, Perfect
Emeli Sandé, Read All About It, Pt. III
James Arthur, Say You Won't Let Go
Isaiah, It's Gotta Be You
Selena Gomez, Wolves
James TW, When You Love Someone
X Ambassadors, Unsteady
Maroon 5, What Lovers Do (feat. SZA)
Conor Maynard, Don't Let Me Down
Shawn Hook, Reminding Me
Beyoncé, Halo
Shawn Mendes, Roses
Katy Perry, Unconditionally
Adele, Water Under the Bridge
Gavin James, Nervous - Acoustic
Ellie Goulding, How Long Will I Love You - Bonus Track
Passenger, Let Her Go
Lord Huron, The Night We Met
Tom Odell, Another Love
Julia Michaels, Issues
Avicii, Lonely Together (feat. Rita Ora)
Hailee Steinfeld, Let Me Go (with Alesso, Florida Georgia Line & watt)
Lily Allen, Somewhere Only We Know
Rihanna, What Now
Jonas Blue, By Your Side
Maroon 5, Wait
SJUR, Let Me Love You
Zara Larsson, I Can't Fall in Love Without You
Hearts & Colors, For The Love
ZAYN, I Don’t Wanna Live Forever (Fifty Shades Darker)
Clean Bandit, Symphony
Avicii, Without You (feat. Sandro Cavazza)
A R I Z O N A, Oceans Away
VAX, Fireproof
Adele, Make You Feel My Love
Ella Vos, Rearrange
The Chainsmokers, Paris
Rixton, Me And My Broken Heart
John Legend, Love Me Now
Rita Ora, Your Song
Jamie Lawson, Wasn't Expecting That
OneRepublic, No Vacancy
Jessie Ware, Alone
Lady Gaga, The Cure
Taylor Swift, You Are In Love
Clean Bandit, I Miss You (feat. Julia Michaels)
Justin Timberlake, Mirrors
Charlie Puth, Marvin Gaye (feat. Meghan Trainor)
Katy Perry, Save As Draft
Freya Ridings, Lost Without You
