Porter Robinson, Shelter
Hayden James, NUMB
Virtual Self, Ghost Voices
Phoenix, Fior Di Latte
Toro y Moi, Girl Like You
Nujabes, Who's Theme
Tourist, We Stayed Up All Night
Young Thug, I Know There's Gonna Be (Good Times) [feat. Popcaan]
Christine and the Queens, iT
Brasstracks, Say U Won't
Childish Gambino, Redbone
Clubfeet, Cape Town - Panama Remix
Tourist, Run
SBTRKT, I FEEL YOUR PAIN (feat. D.R.A.M. & Mabel)
Sébastien Tellier, Look
Madeon, Pay No Mind
Phoenix, If I ever feel better
Kanye West, I Wonder
Lee Fields & The Expressions, Ladies
Michael Jackson, Human Nature
RÜFÜS, Like An Animal
Aquilo, Calling Me
Skylar Spence, Fiona Coyne
White Town, Your Woman
JAY Z, Empire State Of Mind
FKJ, Instant Need
Tourist, To Have You Back
Tame Impala, Let It Happen
Club cheval, Discipline
Para One feat. Irfane and Teki Latex, Every Little Thing (feat. Irfane and Teki Latex)
Majid Jordan, Learn From Each Other
Zapp, Computer Love
Bob Dylan, Like a Rolling Stone
Chance The Rapper, Same Drugs
Chilly Gonzales, You Can Dance
The Jackson 5, (Come 'Round Here) I'm The One You Need
James Blake, I Need A Forest Fire
Rihanna, James Joint
Surkin, White Knight Two
The Zombies, Care Of Cell 44
Alyusha, Paradise
Mura Masa, Lovesick
The Avalanches, Frankie Sinatra
Hundred Waters, Show Me Love - Skrillex Remix
Hayden James, Just A Lover
Majid Jordan, Make It Work
Frank Ocean, Bad Religion
GENER8ION, Da Da Ding (feat. Gizzle)
Röyksopp, Happy Up Here
Cashmere Cat, Wild Love
Louis The Child, Love Is Alive
Miguel, waves - Tame Impala Remix
Mura Masa, Second 2 None (feat. Christine And The Queens)
CRX, Broken Bones
All Saints, Pure Shores
