Luke Sital-Singh, Killing Me
James Vincent McMorrow, Wicked Game - Recorded Live at St Canice Cathedral, Kilkenny
Billie Marten, Bird
Dermot Kennedy, Shelter
Katelyn Tarver, Love Me Again
Ólafur Arnalds, Say My Name
Roadkill Ghost Choir, Everywhere
Jack in Water, Maggie
Lisa Kudoke, The Far
Fenne Lily, Top to Toe
SYML, Where's My Love
Robot Koch, Care
GLASHAUS, Fühlt sich wie sterben an
Brooke Bentham, Oliver
Prep School, Come as You Are
Benjamin Francis Leftwich, Tilikum
Phoria, Saving Us a Riot
A Mote Of Dust, Wolves in the Valley
Milly & Tash, Little Do You Know
Escondido, Try
Hello Saferide, Oh God
CLOVES, Everybody's Son
The Lake Poets, Edinburgh
Hayden Calnin, Coward
Lo-Fang, You're the One That I Want
S. Carey, We Fell - Alt. Version
Bon Iver, Flume
Regina Spektor, Somedays
Nervous Nellie, You're so Sad
Laura Doggett, Moonshine
Angus & Julia Stone, For You
Charlie Cunningham, Lights Off
Avi Buffalo, Overwhelmed with Pride
Tim Neuhaus, On Hold
Gallant, Blue Bucket Of Gold (feat. Sufjan Stevens)
Jaymes Young, I'll Be Good
Philipp Poisel, Das kalte Herz
Cat Power, Maybe Not
Jasmine Thompson, I Try
Tom Rosenthal, Go Solo (From the Original Soundtrack "Honig im Kopf")
dodie, Sick of Losing Soulmates
Jordan Klassen, No Salesman
Josienne Clarke and Ben Walker, Something Familiar
SOHN, Rennen
Clueso, Wenn du liebst
liv, Dream Awake
Keaton Henson, 10am Gare du Nord
The Be Good Tanyas, A Thousand Tiny Pieces
James Spiteri, A New Beginning
Evening Hymns, Arrows
Wilhelm Tell Me, Crashing Planes
Great Lake Swimmers, The Great Bear
Damien Rice, I Don't Want To Change You
Linying, Sticky Leaves
Ember Island, Creep
Erik Jonasson, Like a Funeral
Astronauts, Slow Days
Novo Amor, Anchor
Sascha Reske, Halimede
Christian Kjellvander, No Heaven
