Youngbloodz, Snap Yo Fingers
T-Pain, Buy U a Drank (Shawty Snappin')
Usher, Yeah!
50 Cent, In Da Club
Rihanna, Pon de Replay
Hurricane Chris, A Bay Bay
Ginuwine, In Those Jeans
Kanye West, Gold Digger
David Guetta, Sexy Chick - feat. Akon
Jibbs, Chain Hang Low
Destiny's Child, Independent Women, Pt. 1
Baby Bash, Cyclone
Unk, Walk It Out
Ciara, One, Two Step
Lil Jon & The East Side Boyz, Get Low
50 Cent, Candy Shop
Nelly, Hot In Herre
J-Kwon, Tipsy - Radio Mix
The Black Eyed Peas, My Humps
Gwen Stefani, Hollaback Girl
Juvenile, Slow Motion
Nelly Furtado, Promiscuous
Ginuwine, So Anxious
Ciara, Goodies
Snoop Dogg, Drop It Like It's Hot
Too $hort, Blow the Whistle
Daddy Yankee, Gasolina
Dem Franchize Boyz, Lean Wit It, Rock Wit It - feat. Peanut & Charlay
Destiny's Child, Bootylicious
Akon, Smack That - Dirty
Flo Rida, Low (feat T-Pain) - Feat T-Pain Album Version
Ray J, Sexy Can I
Beyoncé, Naughty Girl
Kelis, Milkshake
Missy Elliott, Lose Control (feat. Ciara & Fat Man Scoop)
Chingy, Right Thurr
Pitbull, Hotel Room Service
Houston, I Like That - Feat. Chingy, Nate Dogg & I-20
Sean Paul, Temperature
T-Pain, Can't Believe It
Rihanna, Break It Off
Lil Wayne, Lollipop
Chamillionaire, Ridin' Dirty (feat. Chamillionaire)
Huey, Pop, Lock & Drop It
T.I., Whatever You Like
Nina Sky, Move Ya Body
Lil Mama, Lip Gloss
Cassie, Me & U
Flo Rida, In The Ayer (feat. will.I.am)
Ludacris, Pimpin' All Over The World
Lloyd, Get It Shawty - Main
Fat Joe, Lean Back (feat. Lil Jon, Eminem, Mase & Remy Martin) - Remix
Cupid, Cupid Shuffle
Destiny's Child, Jumpin', Jumpin'
Ginuwine, Differences
D4L, Laffy Taffy
Soulja Boy, Turn My Swag On
E-40, Tell Me When To Go (feat. Keak Da Sneak)
Soulja Boy, Crank That (Soulja Boy)
Shop Boyz, Party Like A Rock Star
Mr. Collipark, Ms. New Booty
TLC, Waterfalls
GS Boyz, Stanky Legg - Main Edit
New Boyz, You're a Jerk - Explicit Album Version
Destiny's Child, Survivor
Unk, 2 Step
50 Cent, Disco Inferno
Snoop Dogg, Gangsta Luv (feat. The-Dream)
Sean Paul, Get Busy
Destiny's Child, Say My Name
Shaggy, Angel
E-40, U And Dat (feat. T. Pain & Kandi Girl)
Chris Brown, Run It!
T-Pain, I'm N Luv (Wit a Stripper)
Ginuwine, Pony
Sisqo, Thong Song
The Pussycat Dolls, When I Grow Up
Wyclef Jean, Sweetest Girl (Dollar Bill)
Baby Bash, Suga Suga
TLC, No Scrubs
Ja Rule, Always On Time
Kanye West, Jesus Walks
Nelly, Dilemma
Akon, I Wanna Love You
The Pussycat Dolls, Don't Cha
Ying Yang Twins, Salt Shaker
Ja Rule, Always On Time
Eve, Let Me Blow Ya Mind
Bow Wow, Like You
Usher, My Boo
The Diplomats, Hey Ma (Remix)
Ja Rule, Mesmerize
The-Dream, Shawty Is Da Shit
Baby Bash, Suga Suga
Nelly, Ride Wit Me
Bow Wow, Shortie Like Mine
Dove Shack, Summertime In The LBC
Webstar, Chicken Noodle Soup
Beyoncé, That's How You Like It
Ghost Town DJs, My Boo - Hitman's Club Mix
Sean Paul, Like Glue
Beenie Man, Girls Dem Sugar - Feat. Mya
Twista, Slow Jamz
50 Cent, 21 Questions
Beyoncé, Baby Boy
Sean Paul, I'm Still In Love With You (feat. Sasha)
Busta Rhymes, I Know What You Want
Boyz II Men, End Of The Road
Mary J. Blige, Family Affair
Diddy, I Need a Girl Part 2 (feat. Loon, Ginuwine & Mario Winans)
Ying Yang Twins, Wait (The Whisper Song)
Mariah Carey, We Belong Together
Fabolous, Into You (feat. Ashanti)
Kanye West, We Don't Care
Jennifer Lopez, Love Don't Cost a Thing
The Pussycat Dolls, Stickwitu
Kanye West, Heartless
50 Cent, P.I.M.P.
OutKast, Hey Ya! - Radio Mix / Club Mix
Kanye West, Good Life
Mariah Carey, Touch My Body
The Pussycat Dolls, Buttons
Cam’ron, Hey Ma
Fat Joe, What's Luv? (feat. Ja-Rule & Ashanti) - Featuring Ja-Rule & Ashanti Explicit Album Version
