Troye Sivan, YOUTH
Halsey, Colors
The Neighbourhood, Daddy Issues
The Neighbourhood, Sweater Weather
Halsey, New Americana
Imagine Dragons, Believer
Imagine Dragons, Demons
X Ambassadors, Unsteady
OneRepublic, Counting Stars
Lukas Graham, 7 Years
Swedish House Mafia, Don't You Worry Child (Radio Edit) [feat. John Martin]
Ed Sheeran, Shape of You
Ed Sheeran, Perfect
Jon Bellion, All Time Low
Bruno Mars, That's What I Like
Julia Michaels, Issues
Maroon 5, Cold
Calum Scott, Dancing On My Own
Jason Derulo, Swalla (feat. Nicki Minaj & Ty Dolla $ign)
Sam Hunt, Body Like A Back Road
Sam Hunt, Take Your Time
Sam Hunt, Leave The Night On
Sam Hunt, Ex To See
Sam Hunt, Break Up In A Small Town
Sammy Adams, All Night Longer
Ed Sheeran, Galway Girl
Charlie Puth, Attention
Shawn Mendes, There's Nothing Holdin' Me Back
The Chainsmokers, Something Just Like This
Calvin Harris, Slide
Clean Bandit, Rockabye (feat. Sean Paul & Anne-Marie)
Drake, Passionfruit
DJ Khaled, I'm the One
Zedd, Stay (with Alessia Cara)
Logic, 1-800-273-8255
Martin Garrix, Scared to Be Lonely
Shawn Mendes, Mercy
Shawn Mendes, I Know What You Did Last Summer
Shawn Mendes, Stitches
Shawn Mendes, Treat You Better
Lord Huron, The Night We Met
Florida Georgia Line, H.O.L.Y.
Shawn Mendes, Life Of The Party
Shawn Mendes, Imagination
Shawn Mendes, Mercy
Shawn Mendes, Treat You Better
Shawn Mendes, Stitches
AJR, Weak
Rag'n'Bone Man, Human
Imagine Dragons, I’m So Sorry
David Guetta, 2U
The Chainsmokers, Paris
Niall Horan, Slow Hands
Redfoo, New Thang
Tinchy Stryder & N-Dubz, Album Version - Ex UK Version
Marshmello, Silence
Chris Brown, Questions
Anthony Russo, California
Avicii, Without You (feat. Sandro Cavazza)
P!nk, What About Us
Avicii, Lonely Together (feat. Rita Ora)
French Montana, Unforgettable
Liam Payne, Strip That Down
Macklemore, Glorious (feat. Skylar Grey)
Selena Gomez, Fetish (feat. Gucci Mane)
Jason Mraz, I Won't Give Up
Evanescence, My Immortal
Kesha, Praying
Bebe Rexha, Bad Bitch (feat. Ty Dolla $ign)
ZAYN, wRoNg
Zara Larsson, Never Forget You
Ariana Grande, Everyday
The Neighbourhood, #icanteven
Bebe Rexha, F.F.F. (feat. G-Eazy)
Nick Jonas, Close
SoMo, Ride
Selena Gomez, Same Old Love
Hailee Steinfeld, Most Girls
Mike Posner, Top of the World
ZAYN, PILLOWTALK
Justin Bieber, Company
Jason Derulo, It Girl
Martin Garrix, There for You
Fifth Harmony, Reflection
B.o.B, Airplanes (feat. Hayley Williams of Paramore) - Explicit Album Version
The Chainsmokers, Young
Bebe Rexha, I Got You
Hoodie Allen, Surprise Party (feat. Blackbear)
Hoodie Allen, Too Invested
Hoodie Allen, All About It (feat. Ed Sheeran)
Kehlani, Gangsta
G-Eazy, Good Life (with G-Eazy & Kehlani)
Camila Cabello, Havana
Maroon 5, What Lovers Do (feat. SZA)
ZAYN, Dusk Till Dawn - Radio Edit
Dua Lipa, New Rules
Macklemore, Good Old Days (feat. Kesha)
DJ Snake, A Different Way (with Lauv)
Macklemore, Willy Wonka (feat. Offset)
Lorde, Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX
Hailee Steinfeld, Let Me Go (with Alesso, Florida Georgia Line & watt)
J Balvin, Mi Gente (feat. Beyoncé)
Edwin McCain, I'll Be
Cheat Codes, No Promises (feat. Demi Lovato)
