Evocation, Children of Stone
Obituary, Sentence Day
Gruesome, Fragments of Psyche
Memoriam, Reduced to Zero
Necrowretch, Curse of Blasphemy
Demonical, Cursed Liberation
Puteraeon, Providence
LIK, Le morte homme
Skeletal, Death Works Overtime
Morbid Angel, Vengeance Is Mine
Facebreaker, Zombie Flash Cult
Grave, Plain Pine Box
Repulsive Vision, Premature Burial
Deicide, Satan Spawn, The Caco Daemon
Avulsed, Breaking Hymens
Dawn of Disease, Worship The Grave
Abscession, The Final Furnace
Entombed, Living Dead
Thunderwar, New Age Prophecy
Scorched, Torture Prolonged
Carcass, Exhume To Consume
Gravebomb, Possessed
Immolation, Destructive Currents
Brutally Deceased, The Disclosure (In the Circle of Thy Bowels)
Daemonicus, We Feast On Your Flesh
Chthe'ilist, Voidspawn
Gruesome, Dimensions of Horror
Chapel Of Disease, Life Is but a Burning Being
Repugnant, Hungry Are the Damned
Of Feather And Bone, Pious Abnormality
Revel In Flesh, Casket Ride
Feral, The Hand of the Devil
Obituary, Turned Inside Out - Reissue
Bloodbath, Mental Abortion
Incarceration, Evoking the Possession
Centinex, Generation of Flies
Gorement, Vale of Tears - remastered 2012
Entombed, Revel In Flesh
Cannibal Corpse, Scattered Remains Splattered Brains
Dismember, Dreaming In Red
Autopsy, Waiting for the Screams
Gatecreeper, Stronghold
Hierophant, Crematorium
Fatalist, Aberration
Asphyx, Candiru
Johansson & Speckmann, Perpetuate the Lie
Morbid Angel, Day Of Suffering
RIKET, Svärta
Trap Them, Luster Pendulums
Incantation, Devoured Death
