Blackstreet, No Diggity
The Notorious B.I.G., Hypnotize
2Pac, Ambitionz Az A Ridah
Coolio, Gangsta's Paradise (feat. L.V.)
The Notorious B.I.G., Big Poppa
Dr. Dre, Still D.R.E.
N.W.A., Express Yourself - Digital Remaster 00
Dr. Dre, The Next Episode
Cypress Hill, Hits from the Bong
OutKast, Ms. Jackson
50 Cent, In Da Club
Snoop Dogg, Gin And Juice (feat. Dat Nigga Daz)
Nelly, Ride Wit Me
JAY Z, Big Pimpin'
City High, What Would You Do?
Eazy-E, Boyz-N-The-Hood
50 Cent, Candy Shop
DJ Quik, Dollars And Sense
Public Enemy, harder than you think
Wu-Tang Clan, C.R.E.A.M.
Wu-Tang Clan, Wu-Tang Clan Aint Nuthing ta F' Wit
Salt-N-Pepa, Shoop
Ice Cube, Check Yo Self - Remix;
Kris Kross, Jump
Gang Starr, What I'm Here 4
Gang Starr, Work
JAY Z, Hard Knock Life (The Ghetto Anthem) - Radio Edit
A Tribe Called Quest, Can I Kick It?
2Pac, Ghetto Gospel
Snoop Dogg, Drop It Like It's Hot
Onyx, Slam
Dr. Dre, Kush - Main
Geto Boys, Mind Playing Tricks on Me
Method Man, Part II
Menace ll Society, Straight Up Menace
Dr. Dre, Forgot About Dre
Afroman, Because I Got High
Akon, I Wanna Love You
Snoop Dogg, Nuthin' But A G'Thang
Nelly, Grillz - Dirty
Chamillionaire, Ridin'
2Pac, Life Goes On
2Pac, Changes - 1998 Greatest Hits (Explicit)
2Pac, All Eyez On Me
Rakim, Guess Who's Back
DMX, Where The Hood At
Nas, If I Ruled the World (Imagine That)
Mobb Deep, Shook Ones, Pt. II
Talib Kweli, Get By
Mos Def, Ms. Fat Booty
Ice Cube, Go To Church - feat. Snoop Dogg & Lil Jon
The Game, How We Do
Bone Thugs-N-Harmony, Tha Crossroads
Ying Yang Twins, Get Low
OutKast, B.O.B.
OutKast, Roses
Nas, The Message
Eric B. & Rakim, I Ain't No Joke
Diddy, Victory (feat. The Notorious B.I.G. & Busta Rhymes)
50 Cent, P.I.M.P.
Warren G, Regulate
Snoop Dogg, Who Am I (What's My Name)?
The Notorious B.I.G., The Notorious B.I.G. - Gimme The Loot (Superginger
Funkmaster Flex, Biggie/Tupac Live Freestyle (Funkmaster Flex & Big Kap Feat. DJ Mister Cee, Notorious B.I.G & Tupac)
2Pac, California Love
The Notorious B.I.G., Going Back To Cali
The Notorious B.I.G., Juicy
2Pac, 2 Of Amerikaz Most Wanted
2Pac, Keep Ya Head Up
N.W.A., Straight Outta Compton
N.W.A., Fuck Tha Police
N.W.A., Gangsta Gangsta
N.W.A., 8 Ball
N.W.A., I Ain't Tha 1
2Pac, Brenda's Got A Baby
2Pac, California Love - Original Version (Explicit)
2Pac, Thugz Mansion - Nas Acoustic
Nas, N.Y. State of Mind
Makaveli, Hail Mary
Common, I Used to Love H.E.R.
Nas, Hate Me Now
Ice Cube, It Was A Good Day
Marques Houston, IceMan, & Joe Budden, Clubbin (Remix)
The Notorious B.I.G., Mo Money Mo Problems (feat. Mase & Puff Daddy)
Truth Hurts, Addictive
The Notorious B.I.G., Want That Old Thing Back (feat. Ja Rule and Ralph Tresvant)
The Notorious B.I.G., Dead Wrong (feat. Eminem)
Ja Rule, Livin' It Up
Big Pun, Still Not a Player
Fugees, Ready or Not
50 Cent, When It Rains It Pours
Big Pun, I'm Not a Player
Ice Cube, Gangsta Rap Made Me Do It
Snoop Dogg, Bitch Please - Feat. Xzibit
N.W.A., If It Ain't Ruff
Luniz, I Got 5 On It - Feat. Michael Marshall
Westside Connection, Bow Down
Dead Prez, Hip Hop
Nas, Represent
Diddy, I'll Be Missing You - 10th Anniversary (Explicit)
Diddy, Can't Nobody Hold Me Down (feat. Mase)
2Pac, Runnin' (Dying To Live)
Nas, Life's a Bitch
Westside Connection, Gangsta Nation
Mobb Deep, Survival of the Fittest
2Pac, My Block - Nitty Remix
Dr. Dre, Murder Ink
2Pac, Ghost
Method Man, Da Rockwilder
Method Man, The What
Wu-Tang Clan, Gravel Pit
Nas, Street Dreams
Eminem, When I'm Gone
Nas, Halftime
Cam’ron, The Dope Man
Too $hort, So You Want to Be a Gangster
Kanye West, All Falls Down
Mobb Deep, Drop A Gem On 'Em
Gang Starr, Full Clip
Big L, MVP
Gang Starr, JFK 2 LAX
2Pac, Be the Realist (Radio Version)
Big Pun, Twinz (Deep Cover '98)
Obie Trice, The Setup - Remix by Dr. Dre
Cam’ron, Oh Boy
Diddy, Bad Boy For Life
The Alchemist, Hold You Down
Snoop Dogg, Deep Cover
Craig Mack, Flava In Ya Ear
The Diplomats, I Really Mean It
The Notorious B.I.G., Get Money - Performed by Junior M.A.F.I.A.
Common, So Far To Go
Cam’ron, Hey Ma
Twista, Slow Jamz (feat. Kanye West & Jamie Foxx)
LL Cool J, Hey Lover
JAY Z, Anything
Nas, Live Nigga Rap
50 Cent, Just A Lil Bit
2Pac, Hit 'Em Up - Single Version (Explicit)
MF DOOM, Doomsday
2Pac, Tradin War Stories
The Game, Drop Ya Thangs
Snoop Dogg, Serial Killa (feat. The D.O.C., Tha Dogg Pound & RBX)
Nas, It Ain't Hard to Tell
JAY Z, Lucifer
Kanye West, My Way
Big L, Stretch and Bobbito Show 95 Ft: Jay- Z
The Notorious B.I.G., Come On (feat. Sadat X)
Nas, Affirmative Action
2Pac, Shorty Wanna Be A Thug
2Pac, The Realist Killaz
Nas, 2nd Childhood
Nas, Money Is My Bitch
N.W.A., Chin Check
The Notorious B.I.G., Hold Ya Head (feat. Bob Marley)
2Pac, Picture Me Rollin'
2Pac, Do For Love
Black Star, Definition
The Notorious B.I.G., Warning
UGK, Wood Wheel
The Notorious B.I.G., Let Me Get Down (feat. G-Dep, Craig Mack & Missy "Misdemeanor" Elliott)
Snoop Dogg, Ain't No Fun (If the Homies Cant Have None) (feat. Nate Dogg, Warren G & Kurupt)
2Pac, Str8 Ballin'
2Pac, Runnin' (Stone Radio Remix)
Eminem, When The Music Stops
OutKast, Player's Ball
Nas, The Set Up
JAY Z, This Life Forever
Nas, The Don
Wu-Tang Clan, People Say (feat. Redman)
Snoop Dogg, Mount Kushmore
Nas, Suspect
Nas, Life Is What You Make It (feat. DMX)
The Notorious B.I.G., Who Shot Ya
2Pac, Don't Sleep
