Bone Brothers, Hip Hop Baby
2Pac, Changes - 1998 Greatest Hits (Explicit)
The Notorious B.I.G., Juicy
BL'EVE Brown, Finesse
Focus the Truth, The Wave (feat. Vo)
LaLion, Skeletons
Snoop Dogg, Gin And Juice (feat. Dat Nigga Daz)
Salomon Faye, Live and Learn
Bone Thugs-N-Harmony, Crossroads
TQ, Westside
LaLion, Bass Head
Roman Stark, Dnce
Ja Rule, Mesmerize
Rah-C, So Much
Trevor Lanier, Don't Talk so Much
Yvng Swag, Stuntin
Blackstreet, No Diggity
Sunshine Music Company, Summertime in the Lbc
Jabbar Hakeem, Zoo
Baegod, Late Night Vibe
Roman Stark, Visible Side
Bain, Love Safe
Vic Sage, Everyday (feat. Tae)
Trevor Lanier, Realize
Bone Thugs-N-Harmony, Resurrection (Paper, Paper)
Next, Too Close
Kaskade, It's You, It's Me
Bonnie Bailey, Ever After
2. Sunset Daze, Selfish
B. Xact, We on (feat. Truth)
Logan Henderson, Bite My Tongue
Trevor Lanier, Same Ones
Tripple 2, Zone
Trevor Lanier, Same Ones
INOJ, Love You Down
INOJ, Time After Time
Trap Bundy, Outta Time
Trece Vee, Sugar
Sean Turk, Lemonade
Patty Crash, Come Around
INOJ, All I Want
Ghost Town DJs, My Boo - Hitman's Club Mix
TLC, No Scrubs
R. Kelly, Ignition (Remix)
Cassie, Me & U
Rihanna, We Ride
Ashanti, Foolish
JNYR, Twenty Ten
Argo Fargo, Ra Ra
Tim Gent, Temporary Leverage
CyHi The Prynce, Dat Side
CyHi The Prynce, I'm Fine
Psych, Systematic
T-Pain, I'm Sprung
Destiny's Child, Say My Name
Ray J, Sexy Can I feat. Yung Berg
The Notorious B.I.G., Nasty Girl (feat. Diddy, Nelly, Jagged Edge and Avery Storm)
Fat Joe, What's Luv? (feat. Ja-Rule & Ashanti) - Featuring Ja-Rule & Ashanti Explicit Album Version
Wayne Wonder, No Letting Go
Twista, Hope
Trey Songz, Can't Help But Wait
Shaggy, Angel
T-Pain, I'm N Luv (Wit a Stripper)
Baby Bash, Suga Suga
Mario, Let Me Love You
Jamie Foxx, Just Like Me
Snoop Dogg, Signs
Bone Thugs-N-Harmony, I Tried
Snoop Dogg, Beautiful - Feat. Pharrell, Uncle Charlie Wilson
Jennifer Lopez, Jenny from the Block - Track Masters Remix
Justin Timberlake, Like I Love You
Ashanti, Body On Me
Usher, Simple Things - Confession Special Edition Version
Usher, Confessions
Usher, Confessions Part II - Confessions Special Edition Version
Ne-Yo, Can We Chill
Ne-Yo, Go On Girl
Ne-Yo, Single
Ne-Yo, Mad
Ne-Yo, Miss Independent
Ne-Yo, When You're Mad
Ne-Yo, Sexy Love
Ciara, Like a Boy
R. Kelly, Same Girl
Miguel, Adorn
Destiny's Child, Cater 2 U
Usher, You Make Me Wanna...
Mary J. Blige, Rainy Dayz
JAY Z, Izzo (H.O.V.A.)
Nelly, My Place - Album Version / Explicit
The Notorious B.I.G., Big Poppa
The Notorious B.I.G., Hypnotize
Lil Rob, Summer Nights
Ice Cube, It Was A Good Day
N.W.A., Straight Outta Compton
N.W.A., Fuck Tha Police
Eazy-E, Boyz-N-The-Hood
Next, Too Close - Radio Edit
Tamia, So Into You
Ja Rule, Always On Time
Ja Rule, Mesmerize
Busta Rhymes, I Know What You Want
Usher, U Remind Me
Justin Timberlake, Señorita
The Notorious B.I.G., Mo Money Mo Problems (feat. Mase & Puff Daddy)
50 Cent, P.I.M.P.
Nelly, Dilemma
Nelly, Ride Wit Me
2Pac, Dear Mama
2Pac, Thugz Mansion - 7 Remix
Ice Cube, Check Yo Self - Remix;
The Game, Hate It Or Love It
OutKast, Ms. Jackson
Gigi Rowe, Bright Lights Baby
Alexis Renee, Panamera
August Twelfth, C'est La Vie
August Twelfth, Rock Your Body
Saint Pitre, Been in My Mind
Rian Paris, Caught up (feat. No7)
The Holdup, Everything I Do
Peso Da Mafia, Money Man
DaBaby, Pull Up Music
International Special, Go
Mike Crigs, They Don't Know Me
Beau Vallis, Point of View
Andre Xcellence!, Money Cash Ho's 2020
NOSAM, Gotcho Back
Ill Child, LeBron James
Ill Child, First 48
Ill Child, No Love
Ill Child, IDK
QUAZ, Extravagant - Radio Edit
Telykast, Driving
J. Crum, No Brakes
Ill Child, Drown
Ill Child, Lil Homie
Ill Child, Last 48
Lovele$$, Pumping (feat. O.T. Genasis)
Phil Crown, Pick Up the Phone
Flawes, This Could Be Real
William Bolton, Let Me Know
Tommie King, Diamonds
Produc, All the Reasons
Ja Rule, Clap Back
Ja Rule, Livin' It Up
JAY Z, Dirt Off Your Shoulder
Twista, Overnight Celebrity
Justin Timberlake, Rock Your Body
Justin Timberlake, My Love
Justin Timberlake, Summer Love
Craig David, Fill Me In
Snoop Dogg, Nuthin' But A G'Thang
Kanye West, All Falls Down
2Pac, Life Goes On
2Pac, California Love
Eminem, The Real Slim Shady
JAY Z, Allure
JAY Z, Public Service Announcement (Interlude)
JAY Z, 03' Bonnie & Clyde
Eve, Let Me Blow Ya Mind
Jennifer Lopez, I'm Real - Murder Remix
50 Cent, 21 Questions
Fabolous, Into You (feat. Ashanti)
Ashanti, Rock Wit U (Awww Baby)
Mary J. Blige, Family Affair
Jennifer Lopez, All I Have
Bow Wow, Let Me Hold You
Chris Brown, Yo (Excuse Me Miss)
Bow Wow, Like You
Twista, Slow Jamz (feat. Kanye West & Jamie Foxx)
Fabolous, Into You (feat. Tamia) - Main Mix
Trevor Lanier, Don't Talk so Much
Alex Sloane, The L Word
Diddy, I Need A Girl (Part One) (feat. Usher & Loon)
T-Pain, Buy U a Drank (Shawty Snappin')
Lil Jon & The East Side Boyz, Lovers And Friends
R. Kelly, I'm a Flirt Remix
The-Dream, Shawty Is Da Shit
Nelly, Over And Over - Album Version / Explicit
T-Pain, I'm N Luv (Wit a Stripper)
Pharrell Williams, Frontin' - Club Mix
Dr. Dre, The Next Episode
Coolio, Gangsta's Paradise (feat. L.V.)
Snoop Dogg, Drop It Like It's Hot
50 Cent, In Da Club
50 Cent, Candy Shop
Kanye West, Gold Digger
Montell Jordan, This Is How We Do It
Janet Jackson, Got 'Til It's Gone - Feat. Q-Tip and Joni Mitchell
Kirk Franklin, Revolution
Usher, Bad Girl
Warren G, Regulate
Diddy, Bad Boy For Life
Natalie, Energy
Cherish, Unappreciated
Cherish, Do It To It - Feat. Sean Paul Of YoungBloodZ
Bow Wow, Shortie Like Mine
Ja Rule, Down A** B**ch
