Norman Greenbaum, Spirit In The Sky
Johnny Nash, I Can See Clearly Now - Edit
Four Tops, I Can't Help Myself (Sugar Pie, Honey Bunch)
Creedence Clearwater Revival, Lookin' Out My Back Door
Billy Ocean, Love Really Hurts Without You
Fats Domino, I'm Walkin' - 2002 Digital Remaster
The Monkees, Daydream Believer
The Drifters, Under The Boardwalk
Chuck Berry, You Never Can Tell
Neil Diamond, Sweet Caroline
Little Richard, Long Tall Sally
Stealers Wheel, Stuck In The Middle With You
Gus Backus, Rote Lippen Soll Man Küssen
The Doobie Brothers, Listen To The Music
America, Sister Golden Hair
The Everly Brothers, Wake Up Little Susie
The Spencer Davis Group, Keep On Running - Mono Version
Roy Orbison, You Got It
B.J. Thomas, Raindrops Keep Fallin' On My Head - Butch Cassidy/Soundtrack Version
The Searchers, Needles & Pins
Love Affair, Everlasting Love
Eddie Cochran, C'mon Everybody
Herman's Hermits, I'm Into Something Good
The Tremeloes, Silence Is Golden
The Box Tops, The Letter
Giulio Rapetti, Help Yourself
Les Humphries Singers, Mama Loo
Dr. Hook, When You're In Love With A Beautiful Woman
The Kinks, You Really Got Me
Albert Hammond, The Free Electric Band
Middle Of The Road, Chirpy Chirpy Cheep Cheep
George McCrae, Rock Your Baby
Dusty Springfield, Son Of A Preacher Man
Warren Zevon, Werewolves Of London - 2007 Remastered Version
The Lovin' Spoonful, Do You Believe in Magic
The Archies, Sugar, Sugar
The Beach Boys, Wouldn't It Be Nice - 2000 - Remaster
Hot Chocolate, So You Win Again
Leo Sayer, You Make Me Feel Like Dancing - Live
The Kinks, Death of a Clown
Frankie Valli & The Four Seasons, December, 1963 (Oh What A Night!)
Elton John, Daniel
The Troggs, Wild Thing
Juliane Werding, Am Tag, als Conny Kramer starb
Buddy Holly, Peggy Sue - Single Version
Steppenwolf, Magic Carpet Ride
The Hollies, Sorry Suzanne - 2003 Remastered Version
Bobby Vee, Take Good Care Of My Baby - 1990 - Remastered
Del Shannon, Runaway - 2004 Remastered Version
Dion & The Belmonts, The Wanderer
Gerry Rafferty, Baker Street
Paper Lace, The Night Chicago Died
Manfred Mann, Ha! Ha! Said The Clown - Mono Version
Bay City Rollers, Bye Bye Baby
Drafi Deutscher, Marmor, Stein und Eisen bricht
Eddie Cochran, Summertime Blues
Jerry Lee Lewis, Breathless
The Seekers, Georgy Girl
