Aly & AJ, Potential Breakup Song
Selena Gomez & The Scene, Love You Like A Love Song
Selena Gomez & The Scene, Who Says
Selena Gomez & The Scene, A Year Without Rain
Selena Gomez & The Scene, Naturally
Selena Gomez, Come & Get It
Forever in Your Mind, DC Classics Medley
Demi Lovato, La La Land
Bridgit Mendler, Ready or Not
Dove Cameron, Better in Stereo
Zendaya, Watch Me
Zendaya, Something to Dance for / Ttylxox Mash-Up - Medley
Selena Gomez, Shake It Up
Zendaya, Fashion Is My Kryptonite
Bella Thorne, Ring Ring (Hey Girls) - From "Shake It Up"
Selena Gomez, Magic.
Raven-Symoné, Some Call It Magic
Selena Gomez, Everything Is Not As It Seems
Jonas Brothers, Year 3000
Christopher Wilde, Starstruck
Demi Lovato, This Is Me
Jonas Brothers, Play My Music
Christopher Wilde, Hero
Cast Of Camp Rock, We Rock
Demi Lovato, So Far So Great
Anna Margaret, Something About The Sunshine.
Disney Characters, A La Nanita Nana
The Cheetah Girls, Cheetah Sisters - Barcelona Mix
Nick Jonas, Introducing Me
High School Musical Cast, Breaking Free
High School Musical Cast, Fabulous
Troy And Gabriella, Gotta Go My Own Way
Corbin Bleu, Push It To The Limit
Demi Lovato, Wouldn't Change A Thing
Troy, Bet On It
High School Musical Cast, Start Of Something New
Alyson Stoner, It's On
Jordan Francis, Hasta La Vista
Adam Hicks, Turn Up The Music
High School Musical Cast, Humuhumunukunukuapua'a
Raven-Symoné, That's So Raven (Theme Song)
Victorious Cast, Make It Shine (Victorious Theme)
Austin Moon, Cruisin' for a Bruisin' - From "Teen Beach Movie"
Hannah Montana, Nobody's Perfect
Hannah Montana, The Best of Both Worlds - From "Hannah Montana"/Soundtrack Version
Naomi Scott, She's So Gone
Hannah Montana, He Could Be The One
Selena Gomez, Tell Me Something I Don't Know
Joe Jonas, Gotta Find You
Selena Gomez & The Scene, Round & Round
Bella Thorne, TTYLXOX
High School Musical Cast, Stick To The Status Quo
Zac Efron, The Boys Are Back
Renee Sandstrom, Here I Am
Hannah Montana, Let's Get Crazy
Cast Of 'Camp Rock 2', Can't Back Down
Troy And Gabriella, You Are The Music In Me
Bridgit Mendler, Somebody
Victorious Cast, Freak The Freak Out
Miranda Cosgrove, About You Now
Demi Lovato, This is Our Song
Hannah Montana, Rock Star
Victorious Cast, Best Friend's Brother
Matthew "Mdot" Finley, Tear It Down
Demi Lovato, Brand New Day
Joe Jonas, Heart And Soul
Demi Lovato, You're My Favorite Song
Alyson Stoner, What We Came Here For
Hannah Montana, If We Were A Movie
Hannah Montana, I'll Always Remember You
Hannah Montana, You'll Always Find Your Way Back Home
Miley Cyrus, Hoedown Throwdown
Miley Cyrus, The Climb
Miley Cyrus, Butterfly Fly Away
Victorious Cast, Give It Up
Austin Moon, Like Me
Adam Hicks, Breakthrough
High School Musical Cast, Everyday
High School Musical Cast, You Are The Music In Me (Sharpay Version)
Vanessa Hudgens, Can I Have This Dance
Adam Hicks, More Than A Band
Victorious Cast, Beggin' On Your Knees
Jonas Brothers, S.O.S.
Rowan Blanchard, Take On the World - Theme Song From "Girl Meets World"
Coco Jones, Whodunit
Adam Irigoyen, Show ya How
Coco Jones, Don't Push Me
Ashley Tisdale, Still into You (feat. Chris French)
