SOJA, Here I Am
Locos Por Juana, The Cure
Orishas, Mistica
Los Pericos, Runaway
Cultura Profética, Saca Prende y Sorprende
Manu Chao, A la par del amor
Calle 13, Latinoamérica
Los Pericos, Anónimos
Cultura Profética, Con Truenos Hay Que Hablar
Dread Mar I, Nada
Vicente Garcia, El Yeyo
Onda Vaga, Mambeado
Juanafé, Chiquitita
Cheo & Ulises Hadjis, Aquí Vinimos - El Que Busca Mix
Efecto Pasillo, Cuando Me Siento Bien
Ojo de Buey, Dime la Verdad
Nonpalidece, En el Aire
Manu Chao, Je ne t'aime plus
Sie7e, Tengo Tu Love
Dread Mar I, Entre Tus Brazos
Natiruts, Sorri, Sou Rei
Mamita Peyote, Consentimiento
Femina, Eu Tein
Cruz, Dime
Cultura Profética, Música Sin Tiempo
Mirella Cesa, A Besos (Acoustic Version)
La Garfield, Love
Gondwana, Sentimiento Original - Radio Edit
Manu Chao, Mama call
Rawayana, Vengase I
Los Cafres, Momento
Fyahbwoy, Tanto Por Ti
Nonpalidece, La Flor
Macaco, Tengo
Manu Chao, Bongo Bong
Manu Chao, Minha galera
Conkarah, Hello (Reggae Cover)
Jona Camacho, Dulce Vino
Gondwana, Mucho Verso
Jorge Drexler, Universos paralelos
Bob Marley & The Wailers, Three Little Birds
Cultura Profética, Le da Igual
Gondwana, Si No Fuera
Mike Bahía, Déjame
Stich, Cadáver
Fito Paez, Aleluya al Sol
Salomón Beda, Yo Tampoco
Bomba Estéreo, Duele
Movimiento Original, Natural
Piélago, El Fuego
