Vincent Vallières, On va s'aimer encore
Kaïn, Embarque ma belle
Noir Silence, On Jase De Toi
David Jalbert, Souvenirs D'enfance
Joe Dassin, Salut les amoureux - City of New Orleans
Joe Dassin, Les Champs-Elysées
Joe Dassin, Et si tu n'existais pas
Jean Leloup, I Lost My Baby
Les Colocs, Tassez-vous de d'là
Les Colocs, Juste une p'tite nuite
Mes Aïeux, Dégénérations / Le reel du fossé
Les Trois Accords, Elle s'appelait serge
Gaston Mandeville, Le vieux du Bas-du-Fleuve
Fred Fortin, Moisi moé'ssi
Les Respectables, Ma vie à l'heure
Jean Leloup, Paradis City
Okoumé, Dis-moi pas ça
Claude Bégin, Avant de disparaître
Karim Ouellet, Karim et le loup
Ian Kelly, Montréal
Sally Folk, C'est moi la plus belle
Les Trois Accords, Hawaiienne
Les Trois Accords, Saskatchewan
Les Trois Accords, Dans mon corps
Les Trois Accords, Caméra vidéo
Les Trois Accords, Je me touche dans le parc
Les Trois Accords, Tout nu sur la plage
Éric Lapointe, N'importe quoi - Inédit
Les Colocs, La Rue Principale
Okoumé, Dis-moi pas ça
La Chicane, Calvaire
Robert Charlebois, J't'aime comme un fou
Sylvain Cossette, Que Je T'Aime
Robert Charlebois, Je reviendrai à montréal
Nicola Ciccone, Ciao bella
Nicola Ciccone, J't'aime tout court
Garou, Sous le vent
Garou, Seul
Garou, Gitan
Kaïn, Parle moi d'toi
Kaïn, Mexico
La Bottine Souriante, La ziguezon
Alfa Rococo, Météore
Éric Lapointe, Les Boys
Cœur De Pirate, Comme des enfants
Les Trois Accords, Les amoureux qui s'aiment
Gaëtan Roussel, Help Myself (Nous Ne Faisons Que Passer)
Bodh’aktan, Du rhum, des femmes
Louise Attaque, J't'emmène au vent
Joe Dassin, L'Eté Indien
Lynda Lemay, Le Plus Fort C'est Mon Pere
Charles Aznavour, La bohème
Ariane Moffatt, Réverbère
Alexandre Poulin, Comme des enfants en cavale
Les Respectables, Amalgame
Ariane Moffatt, Je veux tout
Zachary Richard, La ballade de Jean Batailleur
Jean Leloup, 1990
Paul Piché, Heureux d'un printemps
Plume Latraverse, Bobépine
Roch Voisine, Hélène
Ginette Reno, Fais-moi la tendresse
Mario Pelchat, Pleurs Dans La Pluie
