Carmouflage Rose, Late Nights
6LACK, That Far
Fortunes., Focus
dvsn, Keep Calm
SZA, The Weekend
Kaiit, 2000 n Somethin
Future, Comin Out Strong
Winston Surfshirt, Ease Bruisily
Travis Scott, Butterfly Effect
Jazmine Sullivan, Insecure
Miguel, Sky Walker
BLESSED, Love Letters
Khalid, Coaster
Jhene Aiko, Sativa
CVIRO, Sober
R I T U A L, Drown The Lovers (feat. 6LACK)
TAPZ, Didn't Know
WIINSTON, Mio
Majid Jordan, My Imagination (feat. dvsn)
Post Malone, I Fall Apart
Anfa Rose, Baby
Tory Lanez, Say It
Connor, All Bad
Ojikae, Existentiality
Frank Ocean, Provider
Tank, When We
Dex , 4 AM
NAV, Myself
snny, Arizona
Matthew Young, Hey
BJ The Chicago Kid, Roses
Jay Cooper, Say Something
Noah Slee, Instore
Lukas, Downfall
Morilla, Impossible
Bryson Tiller, Set It Off
SZA, Love Galore
soso, Primavera
Matt Black, Fake Rose
James Robb, No Sleep (feat. Eff Raps.)
Moods, Truth (feat. Beau Nox)
Kelela, LMK
Jia Lih, Keep Talking
Slip-On Stereo, Shadows
Drake, Teenage Fever
PARTYNEXTDOOR, Rendezvous
Ella Mai, Breakfast In Bed
H.E.R., Lights On
Billy Davis, Postcards
Jhene Aiko, Moments
