Post Malone, rockstar
Chris Brown, Questions
Mabel, Finders Keepers
Khalid, Young Dumb & Broke
Bryson Tiller, Run Me Dry
Yungen, Bestie
Not3s, My Lover - Remix
J HUS, Bouff Daddy
Lotto Boyzz, No Don
French Montana, Unforgettable
Travis Scott, Butterfly Effect
Calvin Harris, Faking It - Radio Edit
Yxng Bane, Fine Wine
WizKid, Come Closer
Kamakaze, Need U Two Know
Stefflon Don, Hurtin' Me
Jacquees, At The Club
Belly Squad, Lifestyle
Kojo Funds, My 9ine
Yungen, All Night
Not3s, Aladdin
Kid Ink, Nasty
Majid Jordan, One I Want (feat. PARTYNEXTDOOR)
Miguel, Pineapple Skies
J HUS, Did You See - French Montana Remix
Chris Brown, Juicy Booty
DJ Khaled, Wild Thoughts
Kendrick Lamar, LOYALTY. FEAT. RIHANNA.
Avelino, 1 In a Million
Not3s, Addison Lee (Peng Ting Called Maddison)
Yxng Bane, Rihanna
Snakehips, Either Way
Krept & Konan, For Me
Kid Ink, F With U
Drake, One Dance
Chris Brown, Confidence
Team Salut, Wagon
Usher, I Don't Mind
RAYE, Decline
ZAYN, Still Got Time
Angel, Take You Home
GoldLink, Crew
Future, Incredible
SZA, The Weekend
Yungen, Take My Number
Stormzy, Cigarettes & Cush (feat. Kehlani & Lily Allen)
Ayo Jay, Your Number REMIX
French Montana, A Lie
Usher, No Limit
RoseGold, The One I Need
