Post Malone, rockstar
Big Shaq, Man's Not Hot
50 Cent, Just A Lil Bit
B.o.B, HeadBand (feat. 2 Chainz)
Drake, The Motto
Kanye West, Black Skinhead
Future, Mask Off - Remix
Dr. Dre, Still D.R.E.
Migos, Fight Night
JAY Z, Numb / Encore
G-Eazy, No Limit
DMX, X Gon' Give It To Ya
Tyga, Rack City
Kanye West, Mercy.1
Drake, Jumpman
Fetty Wap, 679 (feat. Monty)
Drake, KMT
Kendrick Lamar, HUMBLE.
Eminem, 'Till I Collapse
Kanye West, POWER
Fat Joe, All The Way Up
A$AP Rocky, F**kin' Problems
French Montana, Unforgettable
Bobby Shmurda, Hot N*gga
The Game, How We Do
Drake, Back To Back
50 Cent, If I Can't
Kanye West, Stronger
J Balvin, Mi Gente
Krept & Konan, Freak Of The Week
Young Money, Trophies
Kendrick Lamar, m.A.A.d city
Kodak Black, Too Many Years
Ty Dolla $ign, Paranoid (feat. B.o.B)
50 Cent, Disco Inferno
G-Unit, Poppin' Them Thangs
Desiigner, Panda
Kendrick Lamar, DNA.
Lethal Bizzle, Fester Skank
Lil Uzi Vert, XO TOUR Llif3
Stormzy, Big For Your Boots
Kanye West, Champions
DJ Khaled, I'm On One
Dr. Dre, Forgot About Dre
J. Cole, Work Out
blackbear, do re mi (feat. Gucci Mane)
Rae Sremmurd, This Could Be Us
O.T. Genasis, Cut It (feat. Young Dolph)
A$AP Ferg, Plain Jane
6ix9ine, GUMMO
