Offset, Ric Flair Drip
Big Sean, So Good (& Metro Boomin)
N.E.R.D, Lemon - Edit
21 Savage, Ghostface Killers
Quality Control, My Dawg
Famous Dex, Pick It Up (feat. A$AP Rocky)
Kodak Black, Codeine Dreaming (feat. Lil Wayne)
Big Sean, Go Legend (& Metro Boomin)
Eminem, Untouchable
Lil Pump, Gucci Gang
A$AP Ferg, Plain Jane
Quality Control, Thick & Pretty
Migos, MotorSport
Big Shaq, Man's Not Hot
G-Eazy, No Limit
Big Sean, Pull Up N Wreck (With Metro Boomin)
Quality Control, Movin’ Up
NAV, Wanted You (feat. Lil Uzi Vert)
Lil Uzi Vert, The Way Life Goes (feat. Nicki Minaj & Oh Wonder) - Remix
Rich The Kid, New Freezer (feat. Kendrick Lamar)
PnB Rock, Lovin' (feat. A Boogie Wit da Hoodie)
YBN Nahmir, Rubbin Off The Paint
6ix9ine, GUMMO
Future, Patek Water
Big Sean, Even The Odds (& Metro Boomin)
Jay Critch, Fashion (feat. Rich The Kid)
Kodak Black, Roll In Peace (feat. XXXTENTACION)
YoungBoy Never Broke Again, No Smoke
Trippie Redd, Dark Knight Dummo (Feat. Travis Scott)
Post Malone, rockstar
Joyner Lucas, I'm Not Racist
J.I.D, NEVER
Jaden Smith, Icon
Lil Uzi Vert, 20 Min
Tory Lanez, I Sip
Wiz Khalifa, Letterman
Tay-K, The Race
YBN Nahmir, No Hook
Baka Not Nice, Live Up To My Name
Quality Control, Blow Like A Whistle
DRAM, I Have a Dream
A Boogie Wit da Hoodie, Undefeated (feat. 21 Savage)
Tory Lanez, Real Thing (feat. Future)
Smokepurpp, Fingers Blue (feat. Travis Scott)
Roy Woods, Monday to Monday
50 Cent, Still Think I'm Nothing (feat. Jeremih)
Cam’ron, Lean
Gucci Mane, Miss My Woe (feat. Rico Love)
Kendrick Lamar, LOVE. FEAT. ZACARI.
Nipsey Hussle, Rap Niggas
