Alexis y Fido, 5 Letras
Arcangel, Por Amar A Ciegas
Aventura, Ella Y Yo - Featuring Don Omar
Big Boy, Mis Ojos Lloran Por Ti
De La Ghetto, Sensacion Del Bloque
Calle 13, Atrévete-Te-Te
Casa De Leones, No Te Veo - Digital Single
Daddy Yankee, Gasolina
Daddy Yankee, Lo Que Pasó, Pasó
Daddy Yankee, Tu Príncipe
Don Omar, Dile
Don Omar, Reggaeton Latino - Chosen Few Remix
Don Omar, Dale Don Dale
El General, Te Ves Buena
El General, Tu Pun Pun
Hector & Tito, Baila Morena - Original Reggaeton Mix
Héctor "El Father", Noche de Travesura
Héctor "El Father", El Telefono
Ivy Queen, Te He Querido, Te He Llorado
Ivy Queen, Quiero Bailar
Ivy Queen, Quiero Saber
Nicky Jam, Buscarte
N.O.R.E., Oye Mi Canto
Notch, Dale Pa'Tra (Back It Up)
Plan B, Frikitona
Playero, Non Stop Reegae (feat. Daddy Yankee, Blanco, Master Joe and O.G. Black)
Plan B, Plan B
Playero, Ragga Moofin Mix (feat. Daddy Yankee and Maicol & Manuel)
R. Kelly, Burn It Up
R.K.M & Ken-Y, Down
Tego Calderon, Al Natural (feat. Yandel)
Tego Calderon, Pa' Que Retozen
Tempo, Donde Estan Las Girlas
Tito "El Bambino", El Amor
Tito "El Bambino", Siente El Boom
Tito "El Bambino", Mi Cama Huele a Ti (feat. Zion & Lennox)
Tony Dize, Permitame
Tony Dize, Quizas - Remix
Trebol Clan, Agarrala
Voltio, Chulin Culin Chunfly (feat. Residente Calle 13)
Wisin & Yandel, Rakata
Wisin & Yandel, Noche De Sexo
Wisin & Yandel, Pam Pam
Yaga & Mackie, Aparentemente
Zion & Lennox, Hay Algo En Ti
Zion & Lennox, Doncella
Zion & Lennox, Yo Voy (feat. Daddy Yankee)
Ñejo & Dalmata, Algo Musical
Ñejo & Dalmata, Pasarela
Baby Rasta, Tengo Una Punto 40
