Creedence Clearwater Revival, Fortunate Son
Nirvana, Smells Like Teen Spirit
Bon Jovi, Livin' On A Prayer
Elton John, I'm Still Standing - Remastered
Steppenwolf, Born To Be Wild - Single Version
Lynyrd Skynyrd, Sweet Home Alabama
R.E.M., Man On The Moon
The Rolling Stones, (I Can't Get No) Satisfaction - Mono Version / Remastered 2002
Queen, We Will Rock You - Remastered
Metallica, For Whom The Bell Tolls - Live At Hampton Coliseum, Hampton, VA / August 3rd, 1986
Guns N' Roses, Welcome To The Jungle
INXS, KICK
Tom Petty, Free Fallin'
KISS, Rock And Roll All Nite
Elton John, Saturday Night’s Alright (For Fighting) - Remastered
Eric Clapton, Cocaine
Nirvana, Lithium
The Beatles, Come Together - Remastered
The Black Crowes, Hard To Handle
Soundgarden, Black Hole Sun
The Beatles, Sgt. Pepper's Lonely Hearts Club Band - Remix
Led Zeppelin, Black Dog
INXS, New Sensation
Rainbow, Since You Been Gone
Queen, Fat Bottomed Girls - Remastered 2011
Iggy Pop, The Passenger
Bachman-Turner Overdrive, You Ain't Seen Nothing Yet
The Verve, Bitter Sweet Symphony
The Rolling Stones, Paint It, Black - Mono / Remastered
R.E.M., It's the End of the World As We Know It (And I Feel Fine)
Thin Lizzy, The Boys Are Back In Town
Wolfmother, Woman
The Allman Brothers Band, Midnight Rider
The Who, Pinball Wizard - Original Album Version
The Jam, Going Underground
Cream, Sunshine Of Your Love
Status Quo, Rockin' All Over The World
U2, I Still Haven't Found What I'm Looking For - Remastered 2007
Aerosmith, Dude (Looks Like A Lady)
AC/DC, Back In Black
Guns N' Roses, Paradise City
Placebo, Jesus' Son - Radio Edit
Rise Against, The Violence
The Runaways, Cherry Bomb
Black Sabbath, Paranoid
Bryan Adams, Heaven
Queen, Bohemian Rhapsody - Remastered 2011
Free, All Right Now
The Animals, The House Of The Rising Sun
Pink Floyd, Money - 2011 Remastered Version
George Harrison, My Sweet Lord
Motörhead, Ace of Spades
Led Zeppelin, Whole Lotta Love
Bob Seger, Turn The Page - Live In Detroit/1975
Little Steven, Soulfire
Metallica, Now That We’re Dead
U2, Where The Streets Have No Name - Remastered 2007
The Beatles, A Day In The Life - Remix
The Kinks, You Really Got Me - Remastered
Boston, More Than a Feeling
Metallica, Master Of Puppets - Late June 1985 Demo
Jimi Hendrix, All Along the Watchtower
Paul McCartney, Live And Let Die - Remastered
Bob Seger, Night Moves
Guns N' Roses, Sweet Child O' Mine
Metallica, Master Of Puppets
Incubus, Nimble Bastard
Incubus, Nimble Bastard
Incubus, Nimble Bastard
