A Perfect Circle, Judith
System Of A Down, Chop Suey!
AWOLNATION, Sail
Stone Temple Pilots, Interstate Love Song
Rise Against, Savior
The White Stripes, Seven Nation Army
Rage Against The Machine, Killing In The Name
Queens of the Stone Age, No One Knows
Breaking Benjamin, The Diary of Jane
Three Days Grace, I Hate Everything About You
Limp Bizkit, Take A Look Around
3 Doors Down, Kryptonite
Avenged Sevenfold, Hail to the King
Papa Roach, Last Resort
Linkin Park, Numb
Nirvana, Heart-Shaped Box
Audioslave, Show Me How to Live
Thirty Seconds To Mars, The Kill (Bury Me)
Trapt, Headstrong
Muse, Uprising
Seether, Fake It
Marilyn Manson, Sweet Dreams (Are Made Of This)
Foo Fighters, Everlong
Soundgarden, Black Hole Sun
The Offspring, Self Esteem
Red Hot Chili Peppers, Under The Bridge
The Killers, Mr. Brightside
Staind, It's Been Awhile - Explicit LP Version
Jimmy Eat World, The Middle
Stone Sour, Through Glass
The Black Keys, Howlin' For You
Fall Out Boy, Sugar, We're Goin Down
AFI, Miss Murder
Kings of Leon, Sex on Fire
Incubus, Pardon Me
Jet, Are You Gonna Be My Girl
Korn, Falling Away from Me
Blur, Song 2 - 2012 Remastered Version
Metallica, Nothing Else Matters
Pearl Jam, Even Flow
P.O.D., Youth Of The Nation
Guns N' Roses, Sweet Child O' Mine
Bush, Glycerine
Lit, My Own Worst Enemy
Sublime, Santeria
Green Day, Longview
Alice In Chains, Would?
Shinedown, Cut The Cord
The Smashing Pumpkins, Cherub Rock
Deftones, Change (In the House of Flies) - In The House Of Flies LP Version
