Ravenscode, My Escape
Trading Yesterday, May I
We The Kings, Sad Song (feat. Elena Coats)
Backstreet Boys, Incomplete
The Afters, Lift Me Up
Paradise Fears, Battle Scars
Parachute, Kiss Me Slowly
Tenth Avenue North, Hold My Heart
Ryan Star, Losing Your Memory
Melody Fall, It Can't Be Over
Mayday Parade, I Swear This Time I Mean It
Coldplay, The Scientist
Fee, Everything Falls
Mayday Parade, Stay
The Cab, Lovesick Fool
All Time Low, Somewhere In Neverland (Acoustic)
My Darkest Days, Can't Forget You
The Fray, You Found Me
blink-182, I'm Lost Without You
Green Day, Wake Me Up When September Ends
Three Days Grace, Never Too Late
Billy Talent, Nothing To Lose
Silverstein, My Herione - Acoustic
Bullet For My Valentine, All These Things I Hate (Revolve Around Me)
Mayday Parade, Terrible Things
Jason Walker, Down
All Time Low, Backseat Serenade (Acoustic)
Trading Yesterday, Shattered
The Fray, How to Save a Life
ONE OK ROCK, Wherever you are
The Fray, Enough for Now
Simple Plan, Lucky One
SafetySuit, Anywhere But Here
Simple Plan, Save You
SafetySuit, What If
Stars of Track and Field, End Of All Time
Decyfer Down, Forever With You
Jason Walker, Kiss Me
Lifehouse, You And Me
Skillet, Don't Wake Me
Simple Plan, Take My Hand
Red, Never Be The Same
Skylar Grey, Coming Home - Part II
Avenged Sevenfold, So Far Away
The Afters, Ocean Wide
Plain White T's, Take Me Away
Mayday Parade, Oh Well, Oh Well
Rise Against, Hero Of War
Skillet, Lucy
The Afters, Find Your Way
There For Tomorrow, Burn The Night Away
Ed Sheeran, Give Me Love
Sum 41, With Me
Three Days Grace, Last to Know
Dave Days, What Does It Take (Acoustic)
My Favorite Highway, Bigger Than Love
Mayday Parade, Anywhere But Here
Daughtry, Over You
Mayday Parade, Save Your Heart
Seether, Broken - Featuring Amy Lee
Simple Plan, Gone Too Soon
Snow Patrol, Chasing Cars
Secondhand Serenade, Your Call
Simple Plan, Welcome To My Life
The Fray, Never Say Never
Good Charlotte, The Truth
A Day To Remember, If It Means a Lot to You
Plain White T's, Hey There Delilah
Simple Plan, Astronaut
SafetySuit, Find A Way
Mayday Parade, Miserable At Best
Secondhand Serenade, Goodbye
Secondhand Serenade, Why
Hollywood Undead, Pour Me
Boys Like Girls, Thunder
Howie Day, Collide - Acoustic Version
Simple Plan, Everytime
Adelitas Way, All Falls Down
3 Doors Down, Here Without You
Powerspace, Sleep, Everyone...
Simple Plan, Untitled
Ashes Remain, Without You
Quietdrive, Time After Time
Kutless, What Faith Can Do
Avenged Sevenfold, Dear God
Faber Drive, When I'm With You
Lights, Cactus In The Valley (Acoustic)
Hollywood Undead, Pain
Secondhand Serenade, Stay Close, Don't Go
Kutless, Promise Of A Lifetime
Linkin Park, Numb
Nickelback, How You Remind Me - LP Mix
Rascal Flatts, What Hurts The Most
Simple Plan, I Can Wait Forever
Nickelback, Far Away
Evanescence, My Immortal
Howie Day, Longest Night
