Labrinth, Jealous
Birdy, Skinny Love
Aquilo, Who Are You
Sam Smith, Too Good At Goodbyes - Edit
Cat Clyde, Mama Said
AURORA, Half the World Away
Luke Friend, Hole in My Heart
RY X, Berlin
Tom Odell, Heal
Sia, Breathe Me
Jessie Ware, Thinking About You
The Vamps, Shout About It
Ed Sheeran, Photograph
Kodaline, The One
Bastille, Oblivion
Kodaline, High Hopes
Ed Sheeran, Wake Me Up
Shawn Mendes, Never Be Alone
Birdy, Not About Angels
Sam Smith, I'm Not The Only One
Ruth B., Lost Boy
Aquilo, You There
Cat Clyde, Chimes in the Night
Adele, Turning Tables
James Bay, Let It Go
Sasha Sloan, Ready Yet
Ellie Goulding, Your Song
Haley Reinhart, Can't Help Falling in Love
Ella Henderson, Yours
Leona Lewis, Bleeding Love
Ed Sheeran, I See Fire
The Vamps, Risk It All
Adele, Hello
Plain White T's, Hey There Delilah
Justin Bieber, Love Yourself
James Morrison, You Make It Real
James Morrison, Broken Strings
AURORA, Half The World Away
Shawn Mendes, Running Low
Jess Glynne, Take Me Home - BBC Children In Need Single 2015
Leona Lewis, Run
One Direction, If I Could Fly
Demi Lovato, Stone Cold
Years & Years, Eyes Shut
Johnny Stimson, Holding On
James Vincent McMorrow, Higher Love
Gary Jules, Mad World (Feat. Michael Andrews)
Lukas Graham, 7 Years
Coldplay, Fix You
James Blunt, You're Beautiful
gnash, I Hate U I Love U (feat. Olivia O'Brien)
Lewis Watson, what about today?
The Fray, Look After You
LANY, Someone Else
Kim Taylor, Build You Up
Ron Pope, A Drop In The Ocean
Cam Nacson, Maybe, Maybe.
Molly Sandén, Why Am I Crying
Keywest, XO
Keywest, This Is Heartbreak
Stephanie Rainey, Please Don't Go
Mree, Lift Me Up
Switchfoot, You
Sleeping At Last, Turning Page
Andrew Belle, In My Veins - Feat. Erin Mccarley
John Mayer, Dreaming with a Broken Heart
Adele, Make You Feel My Love
Gabrielle Aplin, The Power of Love
Charlene Soraia, Wherever You Will Go
Sleeping At Last, Chasing Cars
Jaymes Young, I'll Be Good
Calum Scott, Dancing On My Own
Michael Schulte, You Said You'd Grow Old With Me
Alessia Cara, River Of Tears
CLOVES, Don't Forget About Me
Passenger, Let Her Go - Acoustic
Tom Odell, Magnetised - Acoustic
Kodaline, Love Like This - Acoustic
Vance Joy, Georgia
Joshua Radin, Tomorrow Is Gonna Be Better
X Ambassadors, Unsteady - Erich Lee Gravity Remix
Birdy, People Help The People
Daughter, Medicine
Jorja Smith, So Lonely
Adele, Someone Like You
Emeli Sandé, Read All About It, Pt. III
Aquilo, Sorry
Lia Marie Johnson, DNA
Gavin James, Nervous - Acoustic
Coldplay, The Scientist
Rihanna, Close To You
Ed Sheeran, Autumn Leaves - Deluxe Edition
Passenger, Beautiful Birds - Acoustic
Zara Larsson, I Can't Fall in Love Without You
Sleeping At Last, Every Little Thing She Does Is Magic
gnash, fragile (feat. WRENN)
Imaginary Future, I Knew This Would Be Love
Noah Guthrie, I Would Die 4 U
The xx, Angels
Adele, Hometown Glory (Single Version)
Willamette Stone, Heart Like Yours
