Hozier, Take Me To Church
Sam Smith, Stay With Me
Colbie Caillat, Bubbly
Taylor Swift, Safe & Sound - from The Hunger Games Soundtrack
Collin McLoughlin, Titanium Acoustic Cover
Tessa Violet, Now That We're Done
Birdy, Skinny Love
Ed Sheeran, Don't
A Great Big World, Say Something
Passenger, Let Her Go
Jason Mraz, I Won't Give Up
One Direction, Story of My Life
P!nk, Just Give Me a Reason
P!nk, So What
Andy Grammer, Keep Your Head Up
fun., Carry On
Gotye, Somebody That I Used To Know
Christina Perri, Jar of Hearts
Daniel Powter, Bad Day
Paramore, The Only Exception
Ingrid Michaelson, Keep Breathing
Jasmine Thompson, Almost Lover
Owl City, Silhouette
Ingrid Michaelson, Be OK
5 Seconds of Summer, Amnesia
Bon Iver, I Can't Make You Love Me/Nick of Time
Kodaline, All I Want
Avicii, Wake Me Up
Birdy, Just A Game
Milky Chance, Sadnecessary
Tessa Violet, Broken Record
Sara Bareilles, Winter Song
Tom Odell, Long Way Down
